titulo,empresa,fecha,descripcion,ubicacion,jornada,presencialidad,salario,beneficios,fecha_scrapeo,url,portal
Data Scientist (Remote in Spain),Edpuzzle,Publicado hace más de 30 días,"About us  Have you always wanted to put your passion for education to use on the job? Would you like to work with an incredible team making an impact on learning around the world? If you answered yes, we can't wait to meet you!  And just who are we? Edpuzzle is a leading edtech company with offices in San Francisco and Barcelona and nearly 10 years of history helping teachers find and create exciting, interactive video lessons. Over 80% of U.S. schools and millions of teachers and students in 190+ countries around the world are already using Edpuzzle to make education more equitable and engaging.  About the role  We’re looking for our next Data Scientist to join the Data & Analytics team in Spain. You’ll be responsible for adapting techniques from research to specific clients and research problems. You will advise on technical and theoretical possibilities within the data science domain and report and present research findings and developments clearly and efficiently, both internally and externally, verbally and in writing.  Wondering what it’s like to work at Edpuzzle?  Picture a place where you can connect with your teammates, whether remotely or in person, whenever you need support. A place where one day you're helping shape one of the biggest edtech platforms in the world, and the next day you're doing a teambuilding activity with your coworkers. A place where everyone has been selected because they're the best at what they do, and where your manager and team trust your decisions fully. A place where you're encouraged to learn and grow because education is the cornerstone of everything we do. Check out the job details below to see if Edpuzzle could be the right fit for you!  About the job Identify valuable data sources and automate collection processes. Extract and query data from our data lake and data warehouse – undertake the preprocess of structured and unstructured data. Analyze large amounts of information to discover trends and patterns, and interpret and analyse data problems. Propose solutions and strategies to business challenges. Collaborate with the Engineering and Product teams. Build analytic systems and predictive models. Derive insights from our customer’s behaviours and journeys to facilitate activities for acquisition, engagement, and retention.  About you You have 1 year of proven experience as a Data Scientist or in a similar role. Graduate degree in Data Science or another quantitative field preferred; BSc/BA in Computer Science, Engineering, or a related field. You are able to work with big amounts of data identifying patterns and relationships. You can organise, store, protect data, and present it in an accurate and understandable manner. You have deep knowledge of Python and their most useful libraries. You can work with relational and non-relational databases. You have proven experience managing projects handling multiple stakeholders, identifying constraints, and organising processes to maximise efficiency. Strong mathematical skills.  Bonus skills Familiarity with Javascript language. Experience working with AWS console. Experience using business intelligence tools (e.g. Tableau). Experience with NewRelic. … or another amazing skill you bring to the table that we haven’t thought of yet!  What’s it like to work remotely? Work from the comfort of your own home. Use the Edpuzzle office as much or as little as you like. Meet with your manager and team via video calls on Google Meet or Slack. Connect with coworkers via Slack (with channels for work and for fun!). To enjoy our remote work policy, you’ll need high-speed internet access.  What we offer Competitive salary at €30,000 - €36,000 and a yearly salary review based on performance Free private health insurance policy with AXA. €2000 annually for meals. Flexible remuneration for childcare and transportation. 24 paid holidays plus December 24th and 31st. Flexible working hours and reduced working time on Fridays. Remote-friendly: Feel free to work 100% remotely or use the Barcelona office whenever you want, for the best of both worlds! Free coffee, snacks, and drinks in the Barcelona office. Teambuilding events during working hours. Incredible opportunity to grow, learn, and build lifetime bonds with other passionate people!  Edpuzzle is an equal opportunity employer that is committed to diversity and inclusion in the workplace. We prohibit discrimination and harassment of any kind based on race, color, sex, religion, sexual orientation, national origin, disability, genetic information, pregnancy, or any other protected characteristic as outlined by federal, state, or local laws.  This policy applies to all employment practices within our organization, including hiring, recruiting, promotion, termination, layoff, recall, leave of absence, compensation, benefits, training, and apprenticeship. Edpuzzle makes hiring decisions based solely on qualifications, merit, and business needs at the time.  References from previous employers will be requested from candidates during the selection process. If you'd like to be considered for this position, please apply below. We look forward to hearing from you!",España,Jornada completa,Teletrabajo,,,2024-01-25,https://es.indeed.com/jobs?q=Data+Scientist&l=Espa%C3%B1a&from=searchOnHP&vjk=4c782bb07e32bca8,indeed
Data Scientist Junior,indigitall,Publicado hace más de 30 días,"Quienes somos En indigitall hemos desarrollado una plataforma de automatización de comunicaciones, que usan compañías como VIPS, ABC, EVO Banco o Carrefour. Actualmente somos más de 30 personas trabajando en aumentar la captación online de clientes y llegar así a compañías pequeñas, medianas y grandes de todo el mundo. Estamos en fase de expansión y crecimiento, nuestro objetivo es ser el líder en España, Portugal y LATAM en solución de Marketing Automation.  ¡Únete a Nuestro Equipo como Data Scientist Junior! En nuestro departamento de ""Datos e Inteligencia Artificial"", estamos buscando un talento apasionado por el aprendizaje y el crecimiento profesional. Si te entusiasma sumergirte en el mundo de los datos y la IA, ¡podrías ser la persona que estamos buscando!  Por este motivo, buscamos que tengas principalmente estas habilidades técnicas:  Titulación en Estadística, Matemáticas, Informática, Ingeniería o campos afines. Habilidades prácticas con Python, incluyendo herramientas como Numpy, Pandas, SciKit-Learn, Seaborn y Flask. Experiencia en SQL y habilidad para manipular datos eficientemente. Conocimiento de técnicas analíticas y de aprendizaje automático como regresiones, modelos de clusterización, series temporales, random forest u otros métodos avanzados. Conocimiento de Procesamiento de Lenguaje, NLP, embeddings, LLM. Capacidad para transformar datos complejos en información clara y aplicable, facilitando la toma de decisiones estratégicas. Experiencia en el uso de Git.  Y valoramos positivamente si conoces o tienes inquietud por aprender:  Familiaridad o interés en aprender Docker. Conocimientos en el lenguaje R. Experiencia con Linux y su terminal.  Personalmente, eres nuestro candidato ideal si tienes: Una mentalidad analítica y enfoque estructurado en el trabajo. Capacidad para trabajar tanto de manera autónoma como en equipo. Habilidades para comunicar conceptos complejos de manera clara y efectiva. Curiosidad insaciable y un fuerte deseo de aprender constantemente.  Qué ofrecemos Flexibilidad con trabajo remoto 3 días a la semana. Jornada intensiva los viernes, y mes y medio en verano. ¡El café es por cuenta de la casa!.","28046 Madrid, Madrid provincia",Jornada completa,Teletrabajo,,['Jornada intensiva los viernes'],2024-01-25,https://es.indeed.com/jobs?q=Data+Scientist&l=Espa%C3%B1a&from=searchOnHP&vjk=4319720a816262a7,indeed
Junior Data Scientist,Metiora,Publicado hace más de 30 días,"Descripción de la empresa  ¿Quienes somos? ‍‍ MIOTI es el primer instituto tecnológico aplicado a los negocios, lo que lo convierte en pionero en el sector y referente en formación especializada en #Data_Science, #Internet_of_Things y #eBusiness. Nuestro propósito es formar a personas y empresas en las habilidades tecnológicas más demandadas en el futuro. Somos expertos en formación tecnológica en España y Latinoamérica. Nos acompañan los mejores profesionales del sector. Nuestra metodología es única, #Learning_By_Doing 100% Aprendizaje 0% Postureo, así ofrecemos a nuestros alumnos una formación experiencial única y hacemos realidad el desarrollo de proyectos tecnológicos con impacto real en la economía digital. Y qué mejor forma de aplicar tecnología a los negociosque desarrollar nosotros mismos proyectos de datos para nuestros clientes desde nuestro departamento MIOTI #Consulting_Services aplicando todas las tecnologías y herramientas en las que formamos. En MIOTI #Consulting_Services ayudamos a nuestros clientes a generar su estrategia de datos IA y aplicarla para capturar valor. Evaluando el estado de sus datos, identificando qué procesos hay que rediseñar y por qué, rediseñando su arquitectura y gobierno de los datos, integrando la inteligencia artificial en la toma de decisiones, desarrollando conocimientos y habilidades en los equipos orientados a la toma de decisiones. Nuestro mejor activo son las personas, contamos con un equipo jóven, inclusivo y multicultural que trabaja en lo que ama y que logra cumplir todos los objetivos que se plantean, gracias a una organización horizontal y una cultura empresarial única. Distintos perfiles profesionales se complementan y colaboran entre sí, favoreciendo un ambiente y un flujo de trabajo eficiente, dinámico y muy positivo. Somos un instituto en continuo crecimiento y tenemos muy claro que para alcanzar el éxito necesitamos el mejor talento de todos. Nuestros equipos están formados por personas altamente especializadas que trabajan mano a mano ️, todos los días para alcanzar el reconocimiento de nuestros alumnos y clientes y crecer con ellos.  Descripción del empleo  Estamos buscando a un #excepcional Junior Data Scientist que sea capaz de entender los retos de nuestros clientes, hacerlos suyos y que nos ayude a establecer relaciones a largo plazo con ellos, garantizando el éxito y la ejecución de los proyectos. Queremos un perfil que pueda aportar soluciones innovadoras para resolver los problemas desde un punto de vista analítico, orientado al tratamiento de los datos y que nos permita generar valor con el uso de modelos de ciencia de datos. Funciones del puesto Análisis de datos y preprocesado de información Generación de modelos de Inteligencia Artificial, interpretabilidad y aplicabilidad de estos modelos. Generación de dashboards para mejorar la toma de decisiones de nuestros clientes Seguimiento de las herramientas desarrolladas con clientes Participar en el proceso de mejora de productos de la empresa, así como en la toma de decisiones y el desarrollo de los proyectos. Mantener un alto nivel de conocimiento del sobre tendencias de técnicas de AI, Machine Learning, Deep Learning e IoT Participación en concursos de ciencia de datos Formación en ciencia de datos  Requisitos  Requisitos Grado en carreras STEM, matemáticas, estadística, ingeniería de telecomunicaciones o informática, etc. Alto conocimiento de Python, especialmente en el uso de librerías como: Numpy, Pandas, Scikit Learn, Matplotlib, Bokeh, Polars, etc. Experiencia de al menos 6 meses en proyectos reales/de empresa, relacionados con #data Enfocado en la calidad, escalabilidad y código limpio. Manejo de bases de datos relacionales (SQL) y no relacionales (MongoDB / Redis / Clickhouse). Manejo herramientas de la visualización de datos para la generación de reportes. Conocimientos básicos de series temporales, análisis de estacionalidad y tendencia, detección de anomalías. Predicción de series temporales. Conocimientos de técnicas de Machine Learning y Deep Learning. Conocimiento de trabajo en entornos como Google Colab o Amazon Sagemaker. Se valora positivamente ➕ Formación adicional en ciencia de datos. Proactividad y pasión por la tecnología. Ganas de trabajar en equipo. Curiosidad intelectual y persistencia para resolver problemas.  Información adicional  Nosotros te ofrecemos Oportunidad de prosperar en un entorno de alto emprendimiento y de alto crecimiento Participar de forma activa en el diseño de un producto tanto en la parte de desarrollo de software como de negocio Grandes compañeros con los aprender y trabajar Contrato indefinido, ¡buscamos relaciones a largo plazo! Salario competitivo entre 29.000€ y 40.000€. Beneficios sociales de la empresa (seguro de salud, tarjeta restaurante, tarjeta transporte, etc...) Disfrute de nuestro espacio de “workation” TheCUBE Zahara ️ Eventos semanales de team building Teletrabajo (3 días por semana, horario flexible, jornada intensiva en verano...)","Madrid, Madrid provincia",Contrato indefinido,Remoto híbrido,De 29.000 € a 40.000 € al año,"['Flexibilidad horaria', 'Jornada intensiva en verano', 'Plus transporte']",2024-01-25,https://es.indeed.com/jobs?q=Data+Scientist&l=Espa%C3%B1a&from=searchOnHP&vjk=8e3ef7c454346fca,indeed
Genomic Data Scientist (Remote),Bionano,Publicado hace más de 30 días,"Description  Taking the first step requires courage. At Bionano, we are transforming the way the world sees the genome. Challenging the status quo is never easy. But we know our solutions are making a meaningful impact on translational research that will change the way we approach cancer, genetic disease and other areas of health and wellness. We may never have the answer to every genomic question, but we make it our mission to try. We are looking for smart, innovative risk-takers, who want to help solve complex problems. If that sounds like you, we encourage you to apply.  Summary, Primary Duties, Skills and Experience  We are looking for a dedicated Genomic Data Scientist to support our customers. The Genomic Data Scientist serves as first line of customer contact on data analysis related technical inquiries, as well directly interacts with internal development team to drive product improvement. This role can be based remotely in France, Spain, Italy, Germany, or the Netherlands.  Primary Duties and Responsibilities: Answer, evaluate, and triage incoming queries from customers Document customer enquiries and problems accurately and timely using our Customer Relationship Management (CRM) system Facilitate customer trainings on new software features Manage problem recognition, evaluation, resolution and follow-up for routine and complex problems related to Bionano data analysis related products Provide product improvement feedback to development teams Actively participate in the development of new documentation and improvement of existing documents and procedures Attend internal trainings and recurrent meetings Support other functions across the region and globally Required Skills/Abilities: Excellent analytical, problem solving and interpersonal skills Practical experience of networking and administration of Linux servers (knowledge of CentOS and RedHat operating systems is a plus) Demonstrated coding ability with Perl, Python, R, bash or SQL in a Linux environment Outstanding written and verbal communication skills Customer-focused and team-player mindset Fluent in English and Spanish Ability to travel up to 5% Preferred Skills/Abilities: Practical experience with Bionano data and/or genomics methods like Next-Generation Sequencing and arrayCGH 1-2 years of relevant experience in Bioinformatics Experience in a direct customer support role with remote support and customer training experience Familiar with CRM (customer relationship management) systems Education and Experience Requirements: Advanced degree (MS or PhD) in Bioinformatics or related field Physical Requirements and Work Environment: Sit and/or stand for prolonged periods; Repeating motions that may include the hands, wrists and/or fingers; Use of hands to finger, handle, or feel, and reach with hands and arms; Specific visual abilities, including close vision and ability to adjust focus, read, review and assess the accuracy and thoroughness of the work assigned; Verbal abilities require communicating with others to exchange information; The above physical requirements and work environment characteristics generally reflect those of this position but is not an exhaustive list. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Disclaimer: Nothing in this job description restricts management’s right to assign or reassign duties and responsibilities to this job at any time. This description generally reflects management’s assignment of essential functions but is not intended to be a comprehensive list of the duties and responsibilities of the position, and it does not limit or restrict the duties and responsibilities that may be assigned from time to time. The duties, responsibilities and job description of this role are subject to change at any time without notice.  Equal Employment Opportunity Employer  Bionano does not accept resumes submitted by agencies. The People and Culture team is the focal point for all recruitment and hiring at the company. Agencies are asked not to contact or forward resumes to our Executive team, Management team, or any current Bionano employee for consideration. Resumes are only accepted from agencies if a signed agreement is in place and therefore Bionano is not responsible for any fees related to unsolicited resumes. Bionano is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of any kind. Bionano is committed to the principles of equal opportunity employment for all employees and to providing a work environment free of discrimination and harassment. All employment decisions at Bionano are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Bionano will not tolerate discrimination or harassment based on any of these characteristics and encourages applicants of all ages. Bionano participates in E-Verify.  About Bionano At Bionano®, we are committed to unlocking understanding of genome biology to advance the promise of genomics in areas including cancer and human disease, agricultural bioengineering and genome discovery. Our team is not afraid to venture into uncharted territory to look for answers. We welcome the curious and provide a place where those who are not satisfied with the status quo can feel at home.  Our next-generation genome mapping and analysis tools help researchers see true genome structure to fill in what’s missing from sequencing-based data. Saphyr™, our high-speed, high-throughput whole genome mapping solution, offers unmatched structural variation discovery capabilities and the ability to construct the most complete genome assemblies.  At Bionano, we are invested in the success of our customers and users around the world, and are dedicated to supporting them with the tools, resources and support they need to achieve their goals and make a real impact on improving quality of life for all.",Teletrabajo,Jornada completa,,,,2024-01-25,https://es.indeed.com/jobs?q=Data+Scientist&l=Espa%C3%B1a&from=searchOnHP&vjk=1301cde1f7d9f890,indeed
Data Scientist- 100% remoto M/F,Akkodis,Publicado hace más de 30 días,"Job description ¡Desde AKKODIS, multinacional de servicios tecnológicos y líder a nivel global, te estamos buscando a ti!  Estamos seleccionando a un/a Data Scientist para un proyecto estable con modalidad en remoto.  Responsabilidades: Preparar conjuntos de datos para realizar experimentos Desarrollar modelos y algoritmos de aprendizaje automático Probar modelos, analizar resultados y generar informes Proponer soluciones y estrategias Profile Experiencia: Lenguajes de programación estadística como Python y R Lenguajes de consulta de bases de datos como SQL Java es una ventaja añadida Experiencia en plataformas de procesamiento de datos en la nube como Azure Databricks y Snowflake. Se valorará positivamente la experiencia en el diseño de pipelines de datos e infraestructuras de ingeniería para el despliegue de modelos de machine learning en producción. Experiencia con herramientas de visualización de datos como ggplot o matplotlib.   ¿Qué podemos ofrecerte? Formar parte de una multinacional que está en constante crecimiento Flexibilidad horaria Salario competitivo Plan de retribución flexible: cheque restaurante de Sodexo, tarjeta transporte pass, guardería pass y seguro médico Formación: acceso a cursos y formaciones durante todo el año Portal de descuentos exclusivos para empleados de AKKODIS así como un descuento en gimnasios Trabajo 100% en remoto  ¡Si estás abierto a nuevas oportunidades en AKKODIS estaremos encantados de conocerte!  Reference number 2023-28237 Category Operations — Engineering/production Business industry Digital Minimum level of experience required 3 to 5 years Contractual hours Full time Location Spain","Madrid, Madrid provincia",Contrato indefinido,Teletrabajo,,['Plan de retribución flexible'],2024-01-25,https://es.indeed.com/jobs?q=Data+Scientist&l=Espa%C3%B1a&from=searchOnHP&vjk=b05881380c54a502,indeed
Data Scientist (NPL),Roche,Publicado hace más de 30 días,"The Position The Position As a Data Scientist you will join the data science cluster in the Roche Informatics Data and Analytics Chapter (DnA). You will be part of one or several multi-disciplinary agile teams where you’ll actively shape the future of healthcare by using data science methods and principles to generate deeper insights from a great variety of data sources. To achieve this, you will proactively identify needs, design and implement analytical solutions, provide advice and consulting support to our key stakeholders and show impact by executing proof-of-value initiatives, or contributing to existing products. As a Data Scientist you will: Be accountable for the development and implementation of Data Science products focusing on Natural Language Processing leveraging LLMs and Generative AI tools. Support proactive identification of the most relevant LLM/NLP use cases in collaboration with the key stakeholders. Apply your expertise in NLP/LLM to develop and refine models that address Roche business needs. Involved in building and fine-tuning models and optimising their performance to provide valuable insights and solutions to business stakeholders Support prioritisation efforts, understand feasibility and business impact, take smart risks to make informed decisions in a fast-paced, evolving environment to deliver patient benefits faster. Collaborate within global agile teams in the Roche Informatics business and foundational domains to develop products that provide the highest value to both Roche Pharma and Diagnostics business stakeholders. Provide methodical and implementation guidance as well as hands-on support around analytical LLM/NLP use cases. Evaluate the pros & cons of different NLP approaches and Generative AI platforms with comprehensive quantitative and qualitative analysis Communicate findings and market the value of use cases to key stakeholders. Contribute to positioning data science as a key competency within the enterprise Continuously look for opportunities to broaden knowledge, capabilities and skill set to enable talent to flow into different specialties. Be a role model for knowledge sharing within the DnA chapter. Act as a coach, mentor, or buddy to help colleagues grow and develop. Qualifications M.Sc. or PhD in Computer Science, Physics, Statistics, Mathematics or equivalent degree and experience with machine learning/data mining/artificial intelligence. At least 3 years of hands-on experience as a Data Scientist. Hands-on experience with Python programming and common NLP libraries (e.g., transformers, gensim, spaCy, etc.) Familiarity with essential frameworks (e.g. PyTorch) and infrastructure components (Docker, GPU) for training, fine-tuning and evaluating NLP tasks Experience in using both open source (e.g. HuggingFace) and closed source LLM models with different deep learning architectures Experience implementing RAG, working with knowledge databases and using LLM through APIs Proven experience to deploy LLM models with cloud platforms (AWS, Azure) and machine learning workbenches for robust and scalable productionisation Good knowledge of effective training and optimising language models to fit for internal infrastructure and ensure seamless integration Familiarity with best practices for code generation, code documentation, data security, and compliance in cloud-based data science workflows. Proven experience to add value and insight by providing advanced analytical solutions. Data storytelling skills and using visualisation tools to communicate data and results with a non-technical audience. International, goal oriented mindset with can do attitude. Experience in the pharmaceutical/biotech industry is preferred. Fluency in written and spoken English. Roche is an equal opportunity employer. Who we are At Roche, more than 100,000 people across 100 countries are pushing back the frontiers of healthcare. Working together, we’ve become one of the world’s leading research-focused healthcare groups. Our success is built on innovation, curiosity and diversity. Roche is an Equal Opportunity Employer.","Madrid, Madrid provincia",Jornada completa,,,,2024-01-25,https://es.indeed.com/jobs?q=Data+Scientist&l=Espa%C3%B1a&from=searchOnHP&vjk=e7cf890f78e02d8a,indeed
Junior Data Scientist,EY,Publicado hace más de 30 días,"EY wavespace Madrid is looking for a data scientist with passion in Generative AI technologies to help design and build cutting edge Gen AI solutions. EY wavespace is creating innovative AI technology and products that will transform EY and our clients. We are creating a model for how AI can reinvent large companies, and industries. Through EY’s network of more than 250,000 professionals working in every sector, we have an opportunity to offer AI products and services that transform how business is done in all types of enterprises and to realize the vision of building a better working world. You’ll be a key part of the design, development, and implementation of state-of-the-art Generative AI models to automate processes and improve efficiency. You will drive development of large portions of critical project deliverables. You will be part of a team with a global mindset and with team members from all over the world (20+ nationalities), with mentors who will help you grow in both technical and business domains. Responsibilities: Collaborate closely with cross-functional teams to understand business requirements and challenges. Stay up to date with the latest advancements in Generative AI. Optimize and fine-tune existing Generative AI models to enhance their performance and accuracy. Communicate complex concepts and findings to both technical and non-technical stakeholders through documentation and presentations. Stay informed about industry trends, and emerging technologies related to Generative AI.  Requirements: Bachelor’s/Master's in Computer Science, Data Science, AI, Mathematics or any relevant discipline. 1-2 years of hands-on experience in developing AI models. Experience developing complex software systems that have been deployed to an active userbase. Familiarity with Natural Language Processing. Proven track record of successfully delivering large scale projects. Excellent problem-solving skills, with the ability to think creatively and strategically to develop innovative solutions. Ability to work autonomously work and to effectively collaborate with cross-functional teams.  If you feel that you meet these requirements, please apply with your ENGLISH CV.  Our commitment to diversity & inclusion We are genuinely passionate about inclusion and we support individuals of all groups; we do not discriminate on the basis of race, religion, gender, sexual orientation, or disability status.","28003 Madrid, Madrid provincia",Jornada completa,,,,2024-01-25,https://es.indeed.com/jobs?q=Data+Scientist&l=Espa%C3%B1a&from=searchOnHP&vjk=dd2a1faaea215435,indeed
Offer Safety Data Scientist Intern STP24,Schneider Electric,Publicado hace más de 30 días,"Job Description: Do you want to live the experience of a Multinational with the dynamism of a Startup? If you are looking for an internship that will test your skills and boost your career, our Schneider Trainee Program is for you. Be part of an inclusive environment in which you can co-create solutions to key challenges in the industry learning from our experts. Take your creativity and innovation to another level while enjoying a paid internship with flexible hours and interactive workshops. Join our #SEGreatPeople https://youtu.be/VbldHPFltQQ Departament and Project description :  Our mission to set up systems and effective processes which protect and react in front of quality and safety issues from our offers (product, solutions and services).  What will you learn? An End to End Business Platform to manage Quality and Safety offer issues Quality Methods and Tools to improve any company processes To Work closely with the process owners to understand the requirements and objectives related to the data. To Analyze data, ensuring its reliability in collaboration with the responsible process owners. Ensure that the improvement translates into the corresponding process flows. Conduct detailed data analysis to identify patterns, trends, and improvement opportunities. And relate this data to other data in Quality databases to find possible correlations that help us carry out preventive studies and predictive analysis of Offer Quality through statistical techniques. Present clear and concise reports and visualizations of data analysis results. Collaborate with other teams and departments to provide information and recommendations based on data analysis.  Are you who we are looking for? University student in Data Science, specializing in Quality Management Systems. Knowledge of data analysis techniques and statistics. Familiarity with data analysis tools such as Excel, Python, R, or similar tools. Ability to work independently and in a team, cross-team. Excellent verbal and written communication skills. Attention to detail and ability to analyze and synthesize large volumes of data. Interest and passion for data analysis and process improvement. What can we offer? An experience specially designed for your learning and development Paid internships (depending on the schedule you establish, min. 20 hours and max. 30 hours per week, € 700-900 / month) Monthly sessions to enhance your development and employability (Trainee's Academy) Track your evolution and learning Time flexibility to combine it with your studies One day of free disposal per month (cumulative) Duration of, at least 6 months with the possibility of extension or contracting We seek out and reward people for putting the customer first, being disruptive to the status quo, embracing different perspectives, continuously learning, and acting like owners. We want our employees to reflect the diversity of the communities in which we operate. We welcome people as they are, creating an inclusive culture where all forms of diversity are seen as a real value for the company. We’re looking for people with a passion for success — on the job and beyond. About Our Company: Why us? Schneider Electric is leading the digital transformation of energy management and automation. Our technologies enable the world to use energy in a safe, efficient and sustainable manner. We strive to promote a global economy that is both ecologically viable and highly productive.  €25.7bn global revenue 137 000+ employees in 100+ countries 45% of revenue from IoT 5% of revenue devoted for R&D  You must submit an online application to be considered for any position with us. This position will be posted until filled  It is the policy of Schneider Electric to provide equal employment and advancement opportunities in the areas of recruiting, hiring, training, transferring, and promoting all qualified individuals regardless of race, religion, color, gender, disability, national origin, ancestry, age, military status, sexual orientation, marital status, or any other legally protected characteristic or conduct. Concerning agencies: Schneider Electric does not accept unsolicited resumes and will not be responsible for fees related to such.","Barcelona, Barcelona provincia",,,,,2024-01-25,https://es.indeed.com/jobs?q=Data+Scientist&l=Espa%C3%B1a&from=searchOnHP&vjk=4c817a96efa5b06e,indeed
Data Scientist & Big Data (Teletrabajo),Centro de Promoción de Empleo y Prácticas,Publicado hace más de 30 días,"Titulaciones Doble Grado en Ingeniería Informática y en Matemáticas. Requisitos Experience in IT consulting or automotive projects will be valuable. It will be essential to demonstrate Python programming skills and knowledge of the Scikit-learn library. Advanced English level. Tareas Incorporation into the company (big data and artificial intelligence consultancy) to collaborate on projects in the Automotive sector related to Big Data and AI technology. Prior to joining the project, and under incorporation in workeforce, a 21-day training in English will be carried out in the following branches and technologies: – Big Data Itinerary: introduction to Big Data and the Hadoop ecosystem, Spark, Cloud (Azure), SQL, Kafka. – IA Itinerary: Deep learning, image processing and NLP (natural language processing). Condiciones laborales CONTRATO INDEFINIDO ORDINARIO. SALARIO SEGUN CONVENIO. MODALIDAD: TELEMATICA. Plazo de entrega CV HASTA EL 15 DE DICIEMBRE DE 2021",Teletrabajo,Contrato indefinido,,,,2024-01-25,https://es.indeed.com/jobs?q=Data+Scientist&l=Espa%C3%B1a&from=searchOnHP&vjk=144e6459570addb4,indeed
Principal Data Scientist (Multimodal),Neurons Lab,Publicado hace más de 30 días,"About the project  The primary objective of this project is to establish the foundational infrastructure necessary for training advanced AI models tailored for design applications. The project aims to seamlessly integrate AI at various levels, from enhancing design workflows to realizing AI-first capabilities. This initiative involves mapping product features to the evolving technology landscape, conceptualizing AI integration through raw data modalities, and assembling a dedicated team with the requisite expertise. Ultimately, the project sets the stage for training foundation models that cater specifically to the design domain, unlocking new possibilities and enhancing user experiences within the product. Duration: 12 weeks Objective KPI Develop Reusable Components: Objective: Design and implement cloud components with reusability in mind. KPI: Ensure that 50% of the developed components are created as reusable components, reducing redundancy and promoting efficiency in future projects. Implement Infrastructure as Code (IaC): Objective: Emphasize Infrastructure as Code (IaC) practices for cloud resource provisioning and management. KPI: Achieve 100% IaC implementation for all cloud resources, utilizing AWS CDK and optionally Terraform, to enhance deployment consistency and scalability. Test and Documentation Coverage: Objective: Prioritize testing and comprehensive documentation to ensure system reliability and knowledge transferability. KPI: Maintain a test and documentation coverage of at least 50% for all developed components, promoting robustness, ease of maintenance, and knowledge sharing within the team.  Areas of Responsibility Cloud Governance and Security: Implement and manage cloud governance practices. Design and enforce network security measures within cloud environments. Ensure Infrastructure as Code practices using AWS CDK and Terraform. Application Development and DevOps: Develop application components and implement DevOps practices. Collaborate with development teams for prototype development and web development initiatives. Data Management: Build and maintain ETL pipelines for efficient data transformation. Create and manage data lakes and data warehouses in the cloud. Machine Learning Collaboration: Collaborate with the data science team. Implement and optimize machine learning workflows, including AI services integration.  Skills Programming Skills: Proficient in Python for scripting, automation, and data manipulation. Experience with JavaScript (JS) is a significant advantage. Familiarity with web development concepts is a plus. Cloud Expertise: Strong understanding of AWS services, with a focus on cloud governance, network security. Experience with Infrastructure as Code (IaC) using AWS CDK. Experience with Terraform is an advantage. Experience with GCP is a plus. Data Expertise: Knowledge of ETL processes and data transformation using tools like Pandas. Competency in building and managing data lakes and data warehouses in the cloud. Machine Learning: Experience with machine learning workflows and integrating AI services via APIs. Familiarity with AI/ML frameworks, such as Langchain, Llamaindex. Exposure to Generative Search technologies like ChromaDB and Weaviate is a significant plus.  Knowledge Cloud Architecture: In-depth knowledge of AWS services and architecture. Understanding of cloud-based security best practices. Data Management: Familiarity with streaming and batch processing concepts. Machine Learning Lifecycle: Knowledge of the end-to-end AI/ML workflow and lifecycle. Emerging Technologies: Awareness of emerging technologies and frameworks in machine learning.  Experience Cloud Implementation: Proven experience in implementing cloud solutions, with a primary focus on AWS and additional exposure to GCP. Infrastructure as Code: Successful deployment of Infrastructure as Code using AWS CDK and/or Terraform. Data Management: Previous involvement in building and maintaining ETL pipelines. Machine Learning Implementation: Hands-on experience with machine learning frameworks and AI services. Development Exposure: Exposure to web development and prototype development is a plus.  Terms & conditions Allocation: 0.5 FTE Time zone: The customer is in the European timezone Start date: 12 Feb 2024",Teletrabajo,Media jornada,,,,2024-01-25,https://es.indeed.com/jobs?q=Data+Scientist&l=Espa%C3%B1a&from=searchOnHP&vjk=46cad61ffb8491f5,indeed
