titulo,empresa,fecha,herramientas,descripcion,ubicacion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,solicitudes,fecha_scrapeo,url,portal
Técnico en Sistemas Cloud Zaragoza (Zaragoza),CLOUD2EU,Hace 14 horas ¡Nueva!,"FORMACION MÍNIMA:- Grado + conocimientos sólidos en informática. - Ingeniería Informática, o cualquier otra Ingeniería.- Ciclos Formativos de Grado Superior de la rama de Telecomunicaciones y/o Informática.- Conocimientos y manejo alto de Ofimática.- Se busca una persona para trabajar por proyectos y bajo objetivos.- INDISPENSABLE CARNET DE CONDUCIR.- Trato afable en atención telefónica y personal.- Carácter proactivo y resolutivo.- Valorable Inglés hablado y escrito","-	Conocimientos avanzados en Administración de servidores y sistemas-	Plataformas de virtualización y servicios cloud híbridos, privados y on-premise: vSphere Azure, Proxmox ...-	Despliege de servidores y almacenamiento en Alta Disponibilidad.-	Personalización de entornos cliente y entrega de soluciones llave en mano-	Nivel a Networking y Routing-	Conociemiento de Plataformas de Monitorización.-	Servidores de correo electrónico Exchange On-Premise, Hibrido, IMAP/POP e implementación y mantenimiento de Entornos 365.-	Helpesk nivel 2 y 3",Zaragoza,,"['Administrador de Sistemas', 'Técnico de Sistemas', 'Categoría o nivelTécnico']",Jornada Completa,No se requiere experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnico-en-sistemas-cloud/zaragoza/3016254/,infoempleo
Técnico/a informático/a Valverde del majano (Segovia),GRUDEM,Hace 17 horas (Actualizada),"- Conocimiento en instalación, configuración y mantenimiento de sistemas en entornos Windows Server y Linux.      - Windows Server 2012 R2, 2016, 2019 y 2022      - Linux Centos 7, Ubuntu, etc.- Conocimiento en instalación, configuración y mantenimiento de periféricos:     - Impresoras Multifunción (HP, Canon, Toshiba, etc.)     - TPVs     - Impresoras térmicas.- Conocimiento en microinformática (hardware y software):    - PCs sobremesa    - Portátiles    - Equipos industriales- Conocimiento en la implementación de redes tanto cableadas como inalámbricas:    - Firewalls (En especial SonicWall)    - Routers    -Switches- Gestión del Controlador de Dominio y Directorio Activo Windows    -	Usuarios    -	Grupos    -  	Permisos- Gestión de cuentas Microsoft Office 365:    -	Correo electrónico    -	Power BI    -	SharePoint    -	Teams","GRUDEM selecciona Técnico/a informático/a entre 1 y 2 años de experiencia, para dar soporte al centro de trabajo ubicado en Valverde del Majano, con las siguientes funciones:- Configurar, administrar y mantener los puestos de trabajo, servidores y sistemas de comunicaciones de la empresa.- Dar soporte microinformático a cliente interno- Gestión de los activos y su monitorización.- Configurar, administrar y mantener las cuentas de usuario: Directorio activo y Microsoft 365- Evaluar las necesidades de recursos (memoria, discos, CPU, etc.) en compras futuras.- Mantenimiento preventivo de infraestructuras y comunicaciones para evitar cortes de servicio.- Proponer mejoras de todos los sistemas, permitiendo optimizar su explotación.- Configuración y revisión de copias de seguridad, realizando periódicamente pruebas de restauración y continuidad de negocio.- Detectar y mejorar la seguridad de los sistemas frente a accesos externos o internos.- Documentar los procedimientos, manuales de uso y formación a cliente interno.",Valverde del majano (Segovia),,"['Operador de Sistemas y Redes', 'Técnico de Hardware', 'Técnico de Soporte', 'Técnico de Hardware y Software', 'Técnico de Microinformática', 'Categoría o nivelEmpleado Técnico']",,Entre 1 y 7 años de experiencia,,Retribución sin especificar,13.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-informaticoa/valverde-del-majano/3011215/,infoempleo
Programador Java - Alemán hablado Madrid,Page Personnel,Hace 2 horas ¡Nueva!,Candidato con alto nivel de alemán hablado y al menos 3 años de experiencia desarrollando en java.,- Desarrollo de nuevas funcionalidades de los productos IT y herramientas de la compañía.- Integración y evolución de diferentes software.- Mantenimiento de los software ya existentes.,Madrid,,"['Programador', 'Programador JAVA', 'Analista-Programador Java', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/programador-java-aleman-hablado/madrid/3016626/,infoempleo
Programador,Empresa tecnológica,Hace menos de una hora ¡Nueva!,Se requiere una persona con conocimientos en programación e inglés.,"Programación en .net, visual basic y C#","Álava, Burgos, La Rioja",Teletrabajo parcial,"['Programador', 'Programador .NET', 'Categoría o nivelTécnico']",Jornada Completa,No se requiere experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/programador/3016590/,infoempleo
FRONTEND ANGULAR DEVELOPER - FULL REMOTE Barcelona,Page Personnel,Hace 3 horas ¡Nueva!,Perfil del candidato + 2 años de experiencia trabajando con Angular en versiones por encima de la 7  Imprescindible inglés a nivel hablado y escuchado. El proceso y el da a d´´Ia serán mayoritariamente en inglés,"Desde Michael Page estoy gestionando una posición de Frontend Developer con Angular para una importante consultoría tecnológica. La posición es para trabajar para uno de sus principales clientes.Descripción de la oferta Para el cliente de la consultora, desarrollarás la nueva plataforma web que se está implementando en toda Europa  Desarrollarás con un Stack de Angular  Trabajarás con un equipo internacional, cuyo idioma principal es el inglés",Barcelona,,"['Programador', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/frontend-angular-developer-full-remote/barcelona/3016567/,infoempleo
Frontend Developer (Angular) - Empresa internacional - AI/ML Barcelona,Page Personnel,Hace menos de una hora ¡Nueva!,Perfil del candidato Al menos 2-3 años de experiencia como Frontend developer.  Al menos 2 años de experiencia junto a Angular.  Experiencia junto a otros frameworks será valorada positivamente pero no necesaria.  Buen conocimiento de Typescript.  Experiencia realizando Unit testing o con herramientas similares a Karma y Jasmine y Jest.  Valorable conocimientos de Python o Node.js.   Inglés: intermedio.,"Trabaja como Frontend developer junto a las últimas versiones de Angular y Typescript.Formarás parte de un equipo de 20 personas. Junto a tu equipo deberás focalizar tu trabajo en la mejora constante del producto SaaS, atendiendo al completo junto a demás compañeros la demanda Frontend.Desarrolla nuevas funcionalidades, mejora existentes y participa en decisiones de arquitectura.Descripción de la oferta Toma requerimientos y tradúcelos en soluciones técnicas.  Desarrollo de nuevas funcionalidades junto a Angular en sus últimas versiones.  Forma parte de la toma de decisiones en relación a la arquitectura Frontend (Angular).  Coordina tu trabajo junto a otros departamentos como Backend, Diseño, Ops y QA.  Desarrollo de test unitarios para garantizar al máximo el Test Coverage.",Barcelona,Teletrabajo parcial,"['Programador', 'Programador FrontEnd', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/frontend-developer-angular-empresa-internacional-aiml/barcelona/3016545/,infoempleo
Ingeniero/a Informático/a Bergara (Guipúzcoa),GOI Recursos Humanos,Hace 10 horas ¡Nueva!,"Pensamos en una persona con Formación de Grado en Ingeniería Informática, que aporte formación complementaria vinculada al entorno de trabajo. Se requiere una experiencia previa de unos 3 años en funciones similares. Se requiere dominio de Euskera y un buen nivel de Inglés. Se ofrecen posibilidades reales de desarrollo profesional y evolución dentro de la empresa.","Se incorporará en esta empresa del ámbito industrial para, en dependencia de la Dirección del departamento, realizar las siguientes funciones: administración redes, monitorización y mantenimiento de los equipos, soporte incidencias, gestión de cuentas de correo, administración de servidores, bases de datos, gestión del ERP tanto a nivel de gestión como industrial, etc.",Bergara (Guipúzcoa),,"['Administrador de Redes', 'Administrador de Sistemas', 'Categoría o nivelTécnico']",,Entre 3 y 5 años de experiencia,,Entre 36.000 y 42.000€ Brutos/anuales,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/ingenieroa-informaticoa/bergara/3016358/,infoempleo
Desarrollador/a de Aplicaciones Linares (Jaén),"IMAN TEMPORING ETT, S.L.",Hace 3 horas (Actualizada),"Imprescindible:-Titulación FP Medio o Superior y/o Ingeniería. -Conocimiento de programación.-Conocimiento de desarrollo web y aplicaciones.También valoramos:-Capacidad para trabajar de forma independiente, atendiendo múltiples tareas gestionando prioridades.-Habilidad para trabajar con mentalidad crítica y reflexiva, aportando nuevos enfoques para solucionar problemas y proponiendo soluciones innovadoras -Excelente capacidad de integración y trabajo en equipo -Excelente comunicación verbal y escrita","Desde GRUPO IMAN, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesDesde nuestra delegación de Jaén buscamos un/a Desarrollador/a de Aplicaciones. ¿Cuáles serían tus funciones?•	Desarrollo aplicaciones Android •	Integraciones •	Web services •	Api •	Desarrollo Web •	SQL •	Reporting •	Net, java",Linares (Jaén),,"['Analista-Programador SQL', 'Categoría o nivelTécnico']",,No se requiere experiencia,,Entre 20.000 y 25.000€ Brutos/anuales,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/desarrolladora-de-aplicaciones/linares/3016207/,infoempleo
Field Project Management Sant Just Desvern (Barcelona),Page Personnel,Hace 31 horas (Actualizada),Conocimientos y habilidad en la instalación y reparación de Equipos en campo.  Conocimiento avanzado de sistemas Windows y Windows Server.  Configuración de red local TCP-IP.  Conocimientos eléctricos de baja tensión.  Conocimiento de instalaciones eléctrica y redes.  Habituado a trabajar con software de gestión de incidencias.  Conocimientos avanzados ofimática.  Disponibilidad para viajar/pernoctar.  Disponibilidad para soporte hotline compartido con el resto de técnicos (Zona Levante)  Carnet de conducir.  Habilidades sociales para la interacción con los clientes.  Ganas de aprender y comprometida con el trabajo,Interactuar con los clientes para resolver sus problemas y necesidades.  Instalación de nuevos equipos de hardware y software.  Seguimiento de las nuevas instalaciones.  Actividades de mantenimiento de las instalaciones realizadas.  Comentarios sobre el servicio posventa para la oportunidad de negocio.  Formación de clientes y puesta en marcha de nuevos proyectos.  Configuración de software para proyectos relacionados con nuevas instalaciones y modernización.,Sant Just Desvern (Barcelona),,"['Técnico de Soporte', 'Técnico de Hardware y Software', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Retribución sin especificar,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/field-project-management/sant-just-desvern/3016250/,infoempleo
IT Auditor (ENS) Barcelona,Page Personnel,Hace menos de una hora ¡Nueva!,"Perfil del candidato Experiencia mínima de 1 año en proyectos relacionados con consultoría en Ciberseguridad.  Experiencia en el trabajo con mejores prácticas y normativa en Ciberseguridad (ISO 27001, ENS, RGPD/LOPDGDD, NIST, ENISA, …).  Experiencia en gestión de proyectos y actividades relacionadas con la Ciberseguridad.  Desarrollo normativo de la Seguridad de la Información.  Experiencia en proyectos de adecuación y certificación en normativa de Ciberseguridad.  Experiencia en la elaboración de materiales para la difusión y comunicación de competencias en Ciberseguridad.  Idioma catalán.",Empresa del sector IT referente dentro del ámbito GRC precisa incorporar a varios perfiles de Consultores GRC con experiencia en adecuación del ENS.Descripción de la oferta Consultoría especialista en Ciberseguridad. Consultoría en SGSI ISO 27001. Consultoría en ENS.,Barcelona,,"['Auditor', 'Analista en Ciberseguridad', 'Administrador de Redes', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/it-auditor-ens/barcelona/3016249/,infoempleo
