titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal
Full Stack Developer,Tokio Marine Europe S.A Sucursal en España  Products,hace 1h,[],"As a Full Stack Developer, based in our Barcelona office, you will form part of a dynamic team of professionals from different backgrounds, that support leading companies worldwide to manage their cyber risks.The Cyber Underwriting team is responsible for the strategy, management and underwriting for the Cyber line of business. The team manages the development of Tokio Marine HCC's Cyber insurance portfolio, and to do so it uses advanced in-house tools that support both the management processes of our policies and the security risk analysis processes, providing threat intelligence, vulnerability analysis, among others organizational tools.As part of the Cyber Underwriting Team, you will be frequently challenged by international environments as you will be responsible for the development, improvement and maintenance of the existing and new Cyber Insurance tools. In addition, you will also be involved in providing day-to-day technical guidance to both the cyber underwriting team and cyber operations team.The role requires in-depth understanding of software development and operations (DevOps) as well as Continuous Improvement and Delivery (CI/CD) practices. The ideal candidate should be an organized and structured individual, flexible team player, act with integrity, and have a willingness to learn. Essential Functions:· Development of new Web-based cyber related tools (frontend and backend)· Development of new RESTFul APIs· Development of new Low Code tools (Microsoft Power Apps, etc)· Tools maintenance and supporting documentation· Provide training to cyber underwriting team on cyber-related tools· Provide technical assistance to Cyber Security Leader on cyber related events and topics· Conduct and provide research on technical topics",Barcelona,Seguros, jornada completa,al menos 4 años,indefinido,50.000€ - 50.000€ Bruto/año,2024-01-26,infojobs
Operador Experto en Sistema Cloud AWS,EZENTIS,hace 1h,[],"En Grupo Ezentis, importante empresa de Telecomunicaciones y Tecnología a nivel nacional e internacional, seleccionamos un Operador Experto en Sistema Cloud AWS para integrarse dentro de nuestro equipo.La persona seleccionada formará parte de nuestro equipo dando soporte técnico a clientes sobre Gestión de nubes públicas de servicios de Amazon, consultas/incidencias de AWS.* El soporte se proporcionará por teléfono, ticket y chat.* Seguimiento/resolución de incidencias complejas.* Escalados a Amazon.Requisitos mínimos:* Conocimiento general de AWS:* Infraestructura y arquitectura alto nivel* Conocimiento de alguna soluciones nativas (Back up, DNS, almacenamiento, etc)* Nivel de inglés medio/alto. Requisitos deseados:* Automatización - base level (script básicos reporting o pequeños automatismos)* Certificación AWS Certified Cloud Practitioner o en proceso de obtención.En Ezentis ofrecemos a nuestros empleados:Estabilidad profesional. Contrato indefinido.Retribución mensual: a negociar en función de la valía profesional y experiencia del candidato.Oportunidades de crecimiento profesional.Formación en las últimas tecnologías.Participar en el desarrollo de nuevas aplicaciones, con las últimas tecnologías en entorno MicrosoftParticipación en distintos entornos y en interesantes proyectos.Excelente ambiente de trabajo. Podrás trabajar, aportar ideas y aprender de un gran equipo de profesionales con dilatada experiencia en el sector",Alcobendas,Servicios y tecnología de la información, jornada completa,al menos 1 año,otros contratos,o disponible,2024-01-26,infojobs
ARQUITECTO/A SOFTWARE TECNOLOGÍA FRONT,CASER - Corporativas,hace 1h,[],"¿QUÉ BUSCAMOS?Caser Seguros busca para el equipo de Arquitectura Tecnológica una persona que lidere la iniciativa de Gobierno Front y colabore con el equipo en el cumplimiento de los objetivos del área.Entre sus funciones:- Dar soporte a la comunidad de desarrolladores de Caser en lo relativo a los desarrollos del front de sus proyectos.- Ayuda en la definición funcional en los diseños Low-fidelity.- Identificación de componentes y análisis de las propuestas técnicas de proveedores.- Definición y desarrollo de componentes globales.- Soporte y desarrollo de componentes de aplicaciones (Versiones 0).- Soporte y supervisión a los equipos de desarrollo de proyectos.- Evolución de la Arquitectura, mantenimiento evolutivo del Portal del Desarrollador, actualización del ciclo de vida y de despliegues.- Participar en estudios y evaluación de nuevas tecnologías front aplicables al contexto técnico de Caser.- Participar en el desarrollo de pilotos y pruebas de concepto con nueva tecnología front potencialmente aplicable a Caser.¿QUÉ OFRECEMOS? Formar parte de una empresa líder en el sector asegurador donde encontrarás el desarrollo y la formación que hará crecer tu carrera profesional. - Estabilidad, contrato laboral indefinido.- Seguro colectivo de Vida y de accidentes y seguro de jubilación de aportación definida establecidos en el Convenio..- Descuentos en seguros de Hogar y Auto, Vida, Responsabilidad Civil y Comercio, Defensa Jurídica y Decesos, Inquilinos y primas especiales en seguros de Salud, Dental y Mascotas.- Jornada flexible y un día de teletrabajo semanal.- Incorporación a Flexicaser, nuestro sistema de retribución flexible.- Anticipos de nómina.- Préstamos.- Planes formativos adaptados.",Madrid,Seguros, jornada completa,al menos 4 años,indefinido,o disponible,2024-01-26,infojobs
Administrador/a Bases de datos (DBA),GMV,hace 1h,"['Bases de datos', 'PostgreSQL', 'MySQL', 'Elasticsearch', 'InlfuxDB', 'Python', 'Ansible', 'Jenkins', 'C++', 'Unix']","Estamos buscando un Experto/a en Bases de datos para unirse a nuestro equipo de software y automatización en el proyecto Galileo, la constelación de satélites europea para posicionamiento y navegación.En este equipo nos encargamos del diseño, la automatización del despliegue y configuración de la futura plataforma para el Centro de Control. Dicha plataforma ofrece una serie de servicios y bases de datos de forma confiable y escalable que pueden ser utilizados por el resto de aplicaciones. Estos servicios incluyen el DNS, el sistema de control de acceso, la transmisión de datos, la centralización de la información, etc. Tu labor en este equipo será la de diseñar y montar la infraestructura de bases de datos",Tres Cantos,Ingeniería, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-26,infojobs
TÉCNICO/A ADMINISTRACIÓN DE SISTEMAS,CONTADORES DE AGUA DE ZARAGOZA SA,hace 1h,"['Soporte técnico', 'redes', 'VMWARE', 'Seguridad de la información', 'ERP', 'Cloud']","En Contazara somos referentes en el desarrollo y puesta en el mercado de contadores digitales e inteligentes, con un posicionamiento privilegiado en el sector del agua y ahora nos encontramos en pleno proceso de crecimiento y expansión con nuevos productos a nivel nacional e internacional.Podemos decir con orgullo que somos una empresa muy humana, en continuo desarrollo e innovación, muy enfocados a la calidad a través de la mejora continua, que nos preocupamos por nuestros/as trabajadores/as, mediante una relación de confianza, compromiso, cercanía y transparencia. Buscamos incorporar un/a TÉCNICO/A EN ADMINISTRACIÓN DE SISTEMAS para nuestro departamento de IT.¿Qué te aportará esta posición?Posibilidad real de participar en el crecimiento y desarrollo de la empresa. Buen ambiente laboral. Un 8 sobre 10 fue la nota obtenida en la última encuesta de satisfacción, tendrás la oportunidad de participar en acciones de dinamización y trabajo en equipo. Estabilidad. Ofrecemos un puesto de trabajo estable con contrato indefinido.Desarrollo profesional con acceso a un plan de formación para la mejora de tus competencias a nivel personal y profesional, así como a clases de inglés gratuitas.Beneficios, nuestro salario emocional es una parte muy importante de nuestro paquete retributivo, basados en la parte de salud, conciliación y económicos. -Contamos con actividades de promoción de la salud, a través de la alimentación (fruta fresca semanal, nutricionista,...) y el deporte, así como seguro médico privado.-Nuestro horario principal es de 7 a 15 horas, pero con flexibilidad y posibilidad de teletrabajo.-Además, tu retribución será acorde al puesto.De la mano del responsable de departamento, te encargarás de proporcionar la mejor asistencia técnica interna.Para ello tendrás que:- Administrar la red y comunicaciones de la empresa, garantizando su servicio- Dar soporte técnico al cliente interno en el área de sistemas y mantenimiento informático- Supervisar y monitorizar los sistemas informáticos del Grupo y administrar y hacer el seguimiento de los servicios que ofrece el departamento.- Mantenimientos preventivos de la infraestructura- Seguir los protocolos del Departamento de sistemas, supervisar su cumplimiento- Desarrollo de los protocolos internos- Gestionar los equipos informáticos y el material tecnológico del grupo- Gestionar las incidencias y solicitudes de servicio a través de la herramienta de ticketing del grupoSi quieres desarrollarte profesionalmente en una compañía en crecimiento con muy buen ambiente, estabilidad, interesantes beneficios y flexibilidad, esta es tu oportunidad.",Zaragoza,"Fabric. prod. informáticos, electrónicos y ópticos", jornada completa,al menos 3 años,indefinido,o disponible,2024-01-26,infojobs
Desarrollador/a Senior Java,E2K2 Netechnology,hace 2h,"['Java JDK 1.8', 'Spring MVC', 'Maven', 'Weblogic 12c', ' Tomcat 8.5', 'Windows', 'Linux', 'Oracle Data Base 12c', 'SQL Server', 'TortoiseSVN']","¡En E2K2 cumplimos 20 años de éxitos comprometidos con las Personas y la Tecnología!Actualmente, buscamos un perfil de Desarrollador Java con 4 años de experiencia para trabajar en modo híbrido, 4 días en teletrabajo y 1 día en la oficina en Madrid.Ofrecemos:* Contratación indefinida.* Salario según experiencia aportada.* Absoluta confidencialidad en el proceso de selección.* Integración en una empresa comprometida con sus empleados.* Trato directo y seguimiento continuo de la relación.Esperamos:* Motivación por aprender nuevas habilidades y tecnologías.* Capacidad de trabajar en equipo.* Ganas de crecer profesionalmente.Nuestro Éxito son las Personas que trabajan con nosotros, y destacamos especialmente en el cumplimiento de los compromisos que adquirimos con nuestros profesionales.Contemplamos incentivos particularizados, Flexibilidad, Bolsa de Formación, Bonus por Objetivos, y más, en reconocimiento a la involucración y motivación de nuestras personas.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 4 años,indefinido,o disponible,2024-01-26,infojobs
Desarrollador/a Java Spring Boot y Microservicios / Hibrido,E2K2 Netechnology,hace 2h,"['Java', 'Hibernate', 'Microservicios', 'Spring Boot', 'Agile', 'Angular', 'SQL', 'ORACLE', 'API Rest', 'Maven/Kubernetes/MapStruct Junit Spock Selenium Git Docker Swagger KubernetesPostman']","¡En E2K2 cumplimos 20 años de éxitos comprometidos con las Personas y la Tecnología!Actualmente, buscamos un perfil de Desarrollador Java Spring Boot con 4 años de experiencia para trabajar en modo teletrabajo al 50% en Madrid.Ofrecemos:* Contratación indefinida.* Salario según experiencia aportada.* Absoluta confidencialidad en el proceso de selección.* Integración en una empresa comprometida con sus empleados.* Trato directo y seguimiento continuo de la relación.Esperamos:* Motivación por aprender nuevas habilidades y tecnologías.* Capacidad de trabajar en equipo.* Ganas de crecer profesionalmente.Nuestro Éxito son las Personas que trabajan con nosotros, y destacamos especialmente en el cumplimiento de los compromisos que adquirimos con nuestros profesionales.Contemplamos incentivos particularizados, Flexibilidad, Bolsa de Formación, Bonus por Objetivos, y más, en reconocimiento a la involucración y motivación de nuestras personas.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 4 años,indefinido,o disponible,2024-01-26,infojobs
Desarrollador senior paginas web,ALGORITCOM GROUP S.L.,hace 2h,"['AngularJS', 'React', 'php', 'Python', 'SQL', 'react.js']","¿Estás listo para ser parte de la próxima revolución en el mundo digital?En Algoritcom, estamos en la vanguardia del desarrollo de metaversos, y estamos buscando un Senior Developer con más de 5 años de experiencia, apasionado y talentoso para liderar nuestros esfuerzos en el desarrollo web.¿Qué Harás?Desarrollar y mantener aplicaciones web utilizando tecnologías front-end y back-end de vanguardia.Optimizar la velocidad y el rendimiento de los sitios web, asegurando una experiencia de usuario fluida y atractiva.Identificar y resolver problemas técnicos y desafios complejos de desarrollo web.Contribuir con ideas innovadoras para nuevas funcionalidades y mejoras.¿Qué Buscamos?Experiencia comprobada en desarrollo web.Amplia experiencia en el desarrollo web utilizando tecnologías como HTML5, CSS3, JavaScript, y Frameworks como React o Angular Conocimiento de tecnologías back-end como PHP, Python o Node.jsExperiencia trabajando el el uso de bases de datos SQL y NoSQL.Familiaridad con herramientas de control de versiones como GitUn enfoque creativo para la resolución de problemas.Capacidad para trabajar en equipo y de manera independiente.Excelentes habilidades de comunicación.¿Qué Ofrecemos?Un entorno de trabajo dinámico y colaborativo.Oportunidades de crecimiento profesional y personal.Salario competitivo y beneficios.Flexibilidad en el trabajo (remoto / presencial).",Barcelona,, jornada completa,al menos 4 años,indefinido,o disponible,2024-01-26,infojobs
Técnico/a Programador PLCs (sector Automoción) - Martorell (/),BESIDE,hace 2h,[],"En BESIDE apostamos por el mejor talento dentro del sector tecnológico. Contamos con una unidad de Selección Especializada en perfiles de Ingeniería para incorporarse en la plantilla de nuestros clientes. Trabajamos con un amplio rango de empresas, que nos permitirá encontrarte el puesto que más se ajuste a tus necesidades e intereses profesionales. Te podrás incorporar en las empresas más innovadoras, ofreciéndote proyectos punteros dentro de las ramas de I+D, automoción, pharma, diseño de maquinaria, desarrollo de producto, etc.Seleccionamos un/a Técnico/a Programador/a PLCs (sector automoción) para incorporarse en el equipo de uno de nuestros principales clientes, dedicado a la fabricación de piezas por estampación en frío, soldadura, matricería y montajes de componentes para el sector de la automoción, línea blanca y aeronáutica.¿Qué haré? Estas serán tus funciones principales: - Programación de la maquinaria para la automatización industrial, colaborando en la programación, diseño y desarrollo de software para entornos industriales, a partir de diferentes estándares y según las demandas de la clientela, adaptando las líneas de producción automatizadas a diferentes sectores económicos.- Diseño, desarrollo y optimización de programas de control (PLCs) y realizar la regulación de la maquinaria pertinente.- Definir sistemas de control, realizar la programación y supervisar la puesta en marcha de las maquinarias para la ejecución de los protocolos.- Corregir errores de programación, en la configuración de pantallas de visualización de datos, y detectar posibles problemas eléctricos o en el diseño de las instalaciones y su posterior resolución.- Elaborar esquemas eléctricos y definir las arquitecturas de control y comunicación.- Configurar, programar e integrar los sistemas de comunicación.- Aportawr propuestas para solucionar los problemas o incidencias que detecte y redactar los informes del estado de los proyectos siguiendo los protocolos de la empresa.- Realizar el mantenimiento preventivo PLC.- Realizar modificaciones en las líneas productivas.- Prestar apoyo en nuevos proyectos de instalaciones y automatización.Beneficios que tendrás en tu lugar de trabajo:- Contratación directa y de carácter indefinido por parte de la Compañía.- Posibilidades de crecimiento y desarrollo profesional.- Salario según convenio.",Martorell,Servicios de RRHH, jornada completa,al menos 3 años,indefinido,o disponible,2024-01-26,infojobs
Programador/a JAVA (J2EE) con Artifactory (teletrabajo),Biten Tecnología SL,hace 2h,"['JAVA', 'J2EE', 'Artifactory']",Biten Tecnología busca incorporar 2 personas para programación Java con Artifactory para proyecto estable de larga duración con contrato indefinido en modalidad Teletrabajo al 100%.Conocimientos imprescindibles :Buscamos un perfil con al menos 2 años en Java (J2EE) con experiencia en migración de artefactos a JFrog Artifactory Pro o conocimiento en la generación de artefactos vía CI/CD o conocimientos en Artifactory y configuración de proyectos maven en cada proyecto de migración.Horario: L/J 8h - 17:30h. V 8h - 14:30h.,Madrid,"Programación, Consultoria y otras Activ. informaticas", jornada completa,al menos 1 año,indefinido,o disponible,2024-01-26,infojobs
