titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal,url
ADMINISTRADOR DE SISTEMES INFORMÀTICS (H/D),AXXON,hace 2d,"['Helpdesk', 'Administración de sistemas', 'SAP', 'VPN', 'Backup Exec', 'Inglés']","AXXON selecciona un TÈCNIC DE SISTEMES INFORMÀTICS (H/D) per a empresa industrial situada a La Garrotxa.La persona seleccionada s'incorporarà al departament IT desenvolupant tasques d'administració i manteniment de sistemes informàtics i helpdesk.Funcions:- Administració i manteniment de servidors i entorn virtual.- Gestió de firewalls, xarxes, vpn's i polítiques de seguretat (Fortinet, Cisco i altres).- Manteniment sistema de backups (Veeam Backup )- Administració i manteniment de software empresarial SAP.- Gestió d'incidències i helpdesk L1+L2 dels usuaris d'oficines i a planta: lectors, etiquetadores, tablets i pda's.- Configuració d'estacions de treball als nous usuaris, gestió de permisos i contrasenyes.- Formació interna a usuaris/es de l'organització.Experiència: 3/4 anys desenvolupant tasques d'administració, manteniment i/o supervisió de sistemes informàtics i helpdesk.Valorable: coneixements de SAP, ciberseguretat i metodologies de treball agile.S'ofereix:- Contracte indefinit directe per empresa.- Formació contínua en gestió i administració de xarxes, sistemes i ciberseguretat.- Horari de dilluns a divendres 40h setmanals.- Retribució segons experiència i pla de carrera individualitzat.",Olot,Otras actividades, jornada completa,al menos 3 años,indefinido, 26.000€ - 30.000€ Bruto/año,2024-02-10,infojobs,https://www.infojobs.net/olot/administrador-sistemes-informatics-h-d/of-ie463d84fca4c7f94e6f7ce6182ea0a?applicationOrigin=search-new&page=31&sortBy=PUBLICATION_DATE
ADMINISTRADOR LINUX (REMOTO),"Infortec Consultores, S.A.U",ace 2d,[],"En Infortec Consultores ¡Continuamos ampliando nuestro equipo!.Actualmente contamos con un importante y estable proyecto en el que precisamos incorporar un perfil ADMINISTRADOR DE SISTEMAS LINUX (REMOTO):Perfil de Soporte N2:-Experiencia como Administrador de sistemas Linux (al menos 4 años)-Experiencia en resolución de incidentes y análisis de problemas.-Habilidades en AWS necesarias: Elasticache, S3, RDS, CloudWatch, EC2 (plus ALB, NLB, ASG, etc). (al menos años).-Networking/Routing bajo AWS (VPC).-Experiencia con Kubernetes (al menos 2 años).-Conocimientos y algo de experiencia en algunas de las siguientes herramientas:Elasticsearch y Kibana (gestión de logs).-Conocimientos en Git.REQUISITOSUbicación Cliente: Madrid.Modalidad: Remoto 100%.Horario: 08:00-17:00h (L-V).Disponibilidad para guardias¿QUÉ OFRECEMOS?-Proyecto estable-Contrato indefinido-Teletrabajo-Formación continua-Buen ambiente de trabajoAdemás, contarás con descuentos exclusivos en grandes marcas por ser empleado de INFORTEC:https://infortec.clubdebenefits.com/pages/index",Madrid,Servicios y tecnología de la información, jornada completa,al menos 4 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/madrid/administrador-linux-remoto/of-i3d7762a1bf405ea5f97b8eac840338?applicationOrigin=search-new&page=40&sortBy=PUBLICATION_DATE
ANALISTA DE DATOS AREA WHOLESALE - EMPRESA TELECOMUNICACIONES,ADAMO TELECOM IBERIA,hace 2d,"['Marketing', 'Análisis de negocio', 'Estadística', 'Matemáticas', 'Desarrollo de negocio', 'Ventas', 'Informatica', 'Análisis de datos']","Buscamos un profesional responsable de recopilar, organizar y analizar grandes volúmenes de datos para obtener información valiosa y ayudar en la toma de decisiones empresariales al area de negocio Wholesale de Adamo.Responsabilidades:Recopilar y limpiar datos de diversas fuentes.Realizar análisis exploratorio de datos para identificar patrones y tendencias.Desarrollar y mantener modelos analíticos para predecir resultados y optimizar procesos.Colaborar con otros equipos para identificar oportunidades de mejora basadas en datos.Identificar y solucionar problemas relacionados con la calidad de los datos.Planificación: fijación de objetivos en base al tamaño de mercado, seguimiento del negocio bottom-up, etcSeguimiento y control: Crear informes y visualizaciones de datos claros y concisos.Diagnóstico: Proporcionar recomendaciones basadas en análisis de datos para mejorar la eficiencia y la rentabilidad.",Barcelona,Telecomunicaciones, jornada completa,al menos 2 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/barcelona/analista-datos-area-wholesale-empresa-telecomunicaciones/of-i317f72d17c47b391ad2751c4d07365?applicationOrigin=search-new&page=33&sortBy=PUBLICATION_DATE
ANALISTA DE FRAUDE,DIGI SPAIN TELECOM,ace 1d,"['Análisis', 'Gestión', 'Fraude', 'Telecomunicaciones', 'Investigación']","¿Conoces DIGI? Somos una compañía de Telecomunicaciones en pleno crecimiento. Durante los últimos años hemos creado más de 7.000 empleos estables, ¿te gustaría ser el/la siguiente en formar parte de la #familiaDIGI?DIGI incorpora en el departamento de ANTIFRAUDE, SCORING Y RECOBROS, un ANALISTA DE FRAUDE para realizar las siguientes funciones:-Seguimiento y análisis de las operaciones de la compañía para detección, investigación y gestión de los fraudes.-Definición, desarrollo e implementación de herramientas, procesos y políticas.-Análisis y resolución de expediente de fraude.-Coordinar las acciones necesarias con todas las áreas implicadas para mitigar el fraude.-Comunicación y escalado de las tendencias de fraude-Análisis y seguimiento de las operaciones sospechosas de fraude realizadas desde los canales de venta.¿Qué ofrecemos?- Contrato indefinido- Teléfono móvil.- Tarjeta ticket restaurant.- Internet en casa y seguro médico (ambos a los seis meses).- Posibilidad real de crecimiento.- Buen ambiente laboral y compañerismo.¡Te estamos esperando!",Alcobendas,Telecomunicaciones, jornada completa,al menos 2 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/alcobendas/analista-fraude/of-i561f85435f40158b01dd434c2dca39?applicationOrigin=search-new&page=4&sortBy=PUBLICATION_DATE
ANALISTA DE FRAUDE,DIGI SPAIN TELECOM,ace 1d,"['Análisis', 'Gestión', 'Fraude', 'Telecomunicaciones', 'Investigación']","¿Conoces DIGI? Somos una compañía de Telecomunicaciones en pleno crecimiento. Durante los últimos años hemos creado más de 7.000 empleos estables, ¿te gustaría ser el/la siguiente en formar parte de la #familiaDIGI?DIGI incorpora en el departamento de ANTIFRAUDE, SCORING Y RECOBROS, un ANALISTA DE FRAUDE para realizar las siguientes funciones:-Seguimiento y análisis de las operaciones de la compañía para detección, investigación y gestión de los fraudes.-Definición, desarrollo e implementación de herramientas, procesos y políticas.-Análisis y resolución de expediente de fraude.-Coordinar las acciones necesarias con todas las áreas implicadas para mitigar el fraude.-Comunicación y escalado de las tendencias de fraude-Análisis y seguimiento de las operaciones sospechosas de fraude realizadas desde los canales de venta.¿Qué ofrecemos?- Contrato indefinido- Teléfono móvil.- Tarjeta ticket restaurant.- Internet en casa y seguro médico (ambos a los seis meses).- Posibilidad real de crecimiento.- Buen ambiente laboral y compañerismo.¡Te estamos esperando!",Alcobendas,Telecomunicaciones, jornada completa,al menos 2 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/alcobendas/analista-fraude/of-i561f85435f40158b01dd434c2dca39?applicationOrigin=search-new&page=7&sortBy=PUBLICATION_DATE
ANALISTA DE SISTEMAS/INFRAESTRUCTURAS,Laboral Kutxa,hace 1d,"['NetApp', 'VMware', 'Citrix', 'Trabajo en equipo', 'Optimización', 'Almacenamiento']","¿Tienes experiencia en el mundo de las Infraestructuras TI? En nuestro equipo de Sistemas e Infraestructura estamos creciendo, si tienes experiencia de al menos 3 años en Netapp y lo tuyo es pensar y diseñar estrategias para la gestión y optimización del almacenamiento, ¡esta es tu oportunidad!Nos gustan las personas con iniciativa, resolutivas, con ilusión por aprender, capacidades analíticas, y, sobre todo, responsables.Inscríbete a nuestra oferta y descubre otra forma de trabajar, creciendo profesional y personalmente, para que puedas poner en marcha todo tu potencial de forma sostenible e inclusiva como socio de LABORAL Kutxa.TU DÍA A DÍA:Formar parte del equipo de analistas que lideraran la estrategia en almacenamiento:- Gestionar y optimizar los entornos de almacenamiento para garantizar su fiabilidad y rendimiento, manteniendo una alta disponibilidad y minimizando las interrupciones del servicio.- Capacidad de analítica para detectar problemas y cuellos de botella, así como proponer áreas de mejora continuas.- Colaborar estrechamente con otros departamentos para comprender en profundidad sus necesidades a nivel de almacenamiento.- Colaborar con el equipo de ciberseguridad para establecer y gestionar protocolos de seguridad sólidos en todo el entorno de almacenamiento.¿QUÉ OFRECEMOS?Otra forma de trabajar, creciendo profesional y personalmente, para que puedas poner en marcha todo tu potencial de forma sostenible e inclusiva. Para ello:- Promovemos el trabajo en equipo, el apoyo mutuo y la participación.- Personalizamos la formación para desarrollar la capacitación de las personas a la largo de toda su vida profesional.- Ofrecemos la flexibilidad que necesitas para que exista un buen equilibrio entre la vida profesional y privada.- Apostamos por el talento interno, y por ello tendrás múltiples oportunidades de enfrentarte a nuevos retos y asumir nuevos roles.- Cuidaremos de ti a través de Zainduz, nuestro programa de salud, a través del cual podrás disfrutar de: talleres sobre hábitos saludables y bienestar emocional, servicio de Fisioterapia digital, incentivos por venir andando o en bici a trabajar...- Te facilitaremos el acceso al cuadro médico de Lagun Aro para ti y tu familia, además de condiciones especiales bancarias y de seguros.En definitiva, ofrecemos entornos de trabajo inclusivos y respetuosos, garantizamos igualdad de oportunidades entre hombres y mujeres en las dinámicas de trabajo y en las carreras profesionales, trabajando para ser una referencia en materia de igualdad.",Arrasate/Mondragón,Banca, jornada completa,al menos 3 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/arrasate-mondragon/analista-sistemas-infraestructuras/of-i658d0064364aceb72452d0d795786e?applicationOrigin=search-new&page=14&sortBy=PUBLICATION_DATE
ANALISTA FUNCIONAL SEGUROS (REMOTO),Rawson BPO,hace 23h,"['GAPs', 'Mantenimiento', 'Revisión', 'Analisis', 'Análisis funcional de aplicaciones', 'Remoto']",En Rawson BPO trabajamos para impulsar tu carrera profesional proponiéndote nuevos retos. Trabajarás con las tecnologías más vanguardistas tanto en proyectos nacionales e internacionales¿Qué te ofrecemos?- Contrato Indefinido- Salario competente y revisable- Formación continua IT e Idiomas- Retribución flexible- Modalidad de trabajo/Remoto¿Qué buscamos?- Experiencia y conocimiento en seguro de crédito- Experiencia en proyectos o servicios de implantación de sistemas TI o revisión /mantenimiento. El objetivo del proyecto es analizar los GAPs del sistema actual para adaptar / uniformizar los sistemas de España y Latam¡Si estás buscando una empresa dónde valores el trato personalizado esta es la tuya!,Madrid,#5, jornada indiferente,al menos 2 años,indefinido, 40.000€ - 50.000€ Bruto/año,2024-02-10,infojobs,https://www.infojobs.net/madrid/analista-funcional-seguros-remoto/of-i1371b9943f4e9ba1428f2e7c9e8bd4?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE
ANALISTA PROGRAMADOR/A POWER BI,Rawson BPO,ace 2d,"['PowerBI', 'Dashboards', 'Visuals', 'Bookmarks', 'Teletrabajo', 'Ingles']","En Rawson BPO trabajamos para impulsar tu carrera profesional proponiéndote nuevos retos. Trabajarás con las tecnologías más vanguardistas tanto en proyectos nacionales e internacionales.¿Qué te ofrecemos?- Contrato Indefinido- Salario competente y revisable- Formación continua IT e Idiomas- Retribución flexible- Modalidad de trabajo/ Hibrido¿Qué buscamos?- 2-3 años de experiencia en PowerBI- Experiencia en diseño de dashboards, visuals, bookmarks- Idioma Inglés C1-C2¡Si estás buscando una empresa dónde valores el trato personalizado esta es la tuya!",Madrid,#5, jornada indiferente,al menos 2 años,indefinido, 25.000€ - 28.000€ Bruto/año,2024-02-10,infojobs,https://www.infojobs.net/madrid/analista-programador-power-bi/of-iedbde0f27e41d6a454a91a21769a65?applicationOrigin=search-new&page=36&sortBy=PUBLICATION_DATE
"ANALISTA PROGRAMDOR/A JAVA, MADRID HIBRIDO!!",Soltel,ace 1d,"['J2EE', 'Eclipse', 'Bases de datos', 'JDBC', 'SubVersion', 'DB2', 'JSON', 'PL/SQL']","Desde Soltel, líderes en soluciones tecnológicas, estamos en la búsqueda de profesionales para unirse a nuestro equipo como Analistas Programadores en Madrid, modalidad híbrida.Tecnologías:Lenguajes de Programación: Java 7 o superior, JavaScriptServidor de Aplicaciones: Java Enterprise Edition (J2EE) en cualquier Servidor de Aplicaciones: programación de servlets, JDBC, Webservices, etc.Presentación/Estilos: HTML, CSS, XML, JSONBases de Datos: Oracle y/o DB2, lenguaje SQL, PL/SQL, Procedimientos almacenadosHerramientas de Desarrollo: IDE Java (Tipo Eclipse), Herramientas de integración continua y de gestión de código fuente: Tipo CVS, Subversion, Jenkins o similaresExperiencia:Se requiere experiencia en los últimos 2 años en las tecnologías mencionadas.Si cumples con los requisitos y estás interesado/a en formar parte de nuestro equipo, ¡esperamos tu candidatura!",Madrid,"Programación, Consultoria y otras Activ. informaticas", jornada completa,al menos 2 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/madrid/analista-programdor-java-madrid-hibrido/of-i7d5f9bbd3a48dd9578b71cf28dd743?applicationOrigin=search-new&page=7&sortBy=PUBLICATION_DATE
ANALISTA TÉNICO COBOL,Rawson BPO,ace 2d,"['DB2', 'JCL', 'COBOL', 'Desarrollo Transversales']",En Rawson BPO trabajamos para impulsar tu carrera profesional proponiéndote nuevos retos. Trabajarás con las tecnologías más vanguardistas tanto en proyectos nacionales e internacionales.¿Qué te ofrecemos?- Contrato Indefinido.- Salario competente y revisable.- Formación continua IT e Idiomas.- Retribución flexible.- Vacaciones: 23 días laborables.- Modalidad: híbrida¿Qué buscamos?- Conocimientos tecnología bancaria (Cobol / JCL / DB2).- Conocimiento desde la perspectiva de negocio en aplicaciones de Transversales (Acuerdos; Condiciones; Catálogo; Autorizaciones-Atribuciones; Cestas; Documentos a Emitir; Liquidaciones; Personas)- Desarrollo de carrera técnica en entorno financiero/plataforma bancaria¡Si estás buscando una empresa dónde valores el trato personalizado esta es la tuya,Madrid,Servicios y tecnología de la información, jornada completa,al menos 4 años,indefinido, 36.000€ - 50.000€ Bruto/año,2024-02-10,infojobs,https://www.infojobs.net/madrid/analista-tenico-cobol/of-i41667f00e447168947a4152ebb6e22?applicationOrigin=search-new&page=32&sortBy=PUBLICATION_DATE
