titulo,empresa,fecha,herramientas,descripcion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal,ubicacion,url
.NET Developer Presencial,Michael Page,07/02/2024,"Net, C#","Perfil buscado (Hombre/Mujer)• Desarrollo de software con los lenguajes propios de .Net.• Configuración de los productos. • Realizar revisiones de código del software y calidad del código.• Documentar y mantener la funcionalidad del software, así como depurar y actualizar los sistemas existentes.• Colaborar con los proyectos del propio ERP de la empresa.• Proyección a futuro|Participación en empresa líder en su sectorTECNOLOGÍA• Visual Studio• C#• .Net Core 2.0• .Net Framework• Entity Framework• SQL• Jira• Empresa dedicada al desarrollo de Software y soluciones ERP, CRM. • Formación completa.• Crecimiento dentro de la empresa.• Participación en proyectos interesantes. • Flexibilidad horaria.",,Programador,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,Murcia (Presencial),https://www.tecnoempleo.com/net-developer-presencial-presencial/net-c/rf-d741182fa2ed6308a54d
API Designer TELETRABAJO,Second Window,07/02/2024,"Api, Yaml, Swagger, UML","Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas como Api Designer en una posición 100% en REMOTO, en un proyecto estable y de larga duraciónSi tienes unos 2-3 años de experiencia realizando análisis y diseño de la solución que implementará el API y has generado la documentación del API (Yaml, Swagger, Diagrama de secuencia - UML, documentación específica de consumo para confluence), danos la oportunidad de conocerte!!!¿Qué necesitamos?- Diplomatura o ingenierías: Informática, ciencias o similar API Designer-Experiencia desempeñando el rol de Api Designer-Conocimientos de API Manager, API Connect, APIGEE-Nivel avanzado de Swagger, API Restful-Nivel medio de Springboot, UML y .NET Web APIFunciones:-Análisis y diseño de la solución que implementará el API.-Generación de la documentación del API (Yaml, Swagger, Diagrama de secuencia - UML, documentación específica de consumo para confluence)¿Qué ofrecemos?• Contratación indefinida• Modalidad Trabajo: TELETRABAJO• Rango salarial: 35-40K b/año (dependiendo experiencia del candidato y expectativas salariales)• Beneficios sociales: Seguro médico privado y seguro de vida• Retribución flexible: tickets restaurante, tickets guardería, tarjeta transporte• 23 días de vacaciones y el día de tu cumpleaños• Plan de formación personalizado.",,Analista Programador,Jornada completa,2 años,Indefinido,36.000 €-39.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/api-designer-teletrabajo-remoto/api-yaml-swagger-uml-api-restful-openapi/rf-f3a71f57a29d03f27848
API Developer,Serem,09/02/2024,"api, YALM, APIGee, APi connect","En serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector. Actualmente, nos encontramos en la búsqueda de un API DEVELOPER con al menos un año de experiencia profesional. Funciones:.- Encargado de asegurar la correcta definición del API, incluyendo sus properties, operaciones, definiciones de datos, así como el diseño para su implementación y la publicación en el API Manager.Requisitos mínimos:• Conocimientos en el paradigma API-first y experiencia de al menos 2 años en análisis funcional de requisitos de negocio y diseño de APIs bajo Open API specifications 3.0, YAML.• Conocimientos en los conceptos propios de la gestión y publicación de APIs como son productos, consumidores, planes, modelos de seguridad JWT/OAUTH.• Experiencia de publicación de Apis sobre API Manager preferiblemente API Connect y/o APIGee.• Experiencia en Diseño funcional End to End / Documentación orientada al desarrollador.• Experiencia en el uso de buenas prácticas de la definición de APIs. • Buen nivel de inglés. Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.Somos una empresa española líder en servicios tecnológicos y atracción del talento presente en el mercado desde 1995. Contamos con más de 600 empleados en proyectos tanto nacionales como internacionales en sector",,Programador,Jornada completa,1 año,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/api-developer-remoto/api-yalm-apigee-api-connect/rf-eff210af526d334d284e
AS400 Support Technician + Inglés,Michael Page,07/02/2024,"AS400, RPG","Perfil buscado (Hombre/Mujer)• Sus funciones principales será la resolución de incidencias, gestión de peticiones e identificación de problemas derivados de los servicios ofrecidos en el ERP desarrollado inhouse en la plataforma iSeries. Aunque dará soporte de forma transversal en todas las áreas, su función principal será convertirse en el experto del área logística, y asegurar el funcionamiento de esta área y todas sus interfases.• Resolver la petición o incidencia siguiendo instrucciones operativas, documentando la petición con la información necesaria y monitoreando la evolución de la petición para asegurar la correcta cumplimentación dentro de los niveles de servicio acordados.• Realizar pequeños desarrollos para la solución de problemas.• Proyecto estable|Formarás parte de un ecosistema de Talento Tecnológico• Desarrollo en AS400 (RPG, CL, etc)• Altos conocimientos de procesos logísticos.• Deseable experiencia ServiceNow.• Grado superior de Formación Profesional.• Se valora persona con altas capacidades de aprendizaje, proactiva, dinámica, con don de gentes y buena trabajadora en equipo.• ITIL / ISO20000• Inglés alto imprescindible.Page Consulting Tech Solutions, es el área de PageGroup especializada en la realización de proyectos IT en clientes, ofreciendo una amplia variedad de soluciones tecnológicas a medida con la flexibilidad y agilidad requerida.• Contrato indefinido con Page Consulting Tech Solutions.• Salario en función de la experiencia aportada.• Modelo Híbrido de trabajo (2 días homeoffice 3 días presencial).• Formación continua para desarrollar tu talento.• Beneficios sociales y plan de retribución flexible.• Compensación de gastos de teletrabajo.• Plan de carrera en un ecosistema de talento tecnológico.",,Soporte Técnico,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,Barcelona (Híbrido),https://www.tecnoempleo.com/as400-support-technician-ingles-hibrido/as400-rpg/rf-0a8f11e5e2d633374347
Administrador Linux senior - 100% remoto,Second Window,02/02/2024,"linux, azure, terraform, ansible","Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas como Administrador senior Linux, en una posición 100% en remoto, para un puesto estable y a largo plazo en una de las compañías punteras a nivel nacional e internacional.Si cuentas con al menos 4 años de experiencia como Administrador Linux, y un nivel de inglés B2 al menos, danos la oportunidad de conocerte.¿Qué necesitamos?El perfil ideal deberia tener experiencia en la mayoría de las siguientes tecnologias y skills:- Inglés a nivel escrito y conversacional (B2 al menos).- Linux (RHEL) (OBLIGATORIO)- Azure (OBLIGATORIO)- Herramientas de ticketing: Silva - Jira- Bash scripting- Github- Terraform (OBLIGATORIO)- Ansible (OBLIGATORIO)- Puppet- VMWARE- Monitorizacion con Pandora y Dynatrace.- TSM Backup- Vormetric¿Qué ofrecemos?• Contratación indefinida• Ubicación: 100% remoto (si es Canarias es muy valorable)• Rango salarial: 30-40K b/a (dependiendo experiencia y expectativas del candidato).• Beneficios sociales: Seguro médico privado y seguro de vida• Retribución flexible: tickets restaurante, tickets guardería, tarjeta transporte• 23 días de vacaciones y el día de tu cumpleaños• Plan de formación personalizado.Si sientes que podrías encajar y te apetece la experiencia, ¡ponte en contacto con nosotros! Y te daremos toda la información que necesites.¡Abre una nueva ventana a tu futuro con Second Window! ¡Inscríbete!",,Analista,Jornada completa,Más de 5 años,Indefinido,30.000 €-42.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/administrador-linux-senior-100-remoto-remoto/linux-azure-terraform-ansible/rf-3f96195cc234635dbc4b
Administrador Middleware Infraestructura WAS,Grupo NS,09/02/2024,"WAS, JBOSS, Tomcat","En Grupo NS seleccionamos para incorporación en plantilla, un Administrador Infraestructuras WAS, con al menos tres años de experiencia. Ofrecemos participación en proyecto de primer nivel en modalidad remota 100%, desde España. Posibilidad también de modelo híbrido (Madrid).Grupo NS, es una empresa donde se valora tanto el perfil profesional tecnológico de los trabajadores, como el interés y la aptitud que demuestren a la hora de desarrollar nuevos proyectos.Por ello, requerimos personas constantes, con ganas de evolucionar y aprender.Se requiere aportar experiencia previa en las siguientes funciones:* Experiencia de 3 años en WAS* Conocimientos de administración servidores de aplicación: WAS, JBOSS, Tomcat.* Instalacion de infraestructura, obsolescencia (migraciones, parcheos...)* Conocimientos en servidores web* Conocimientos seguridad IBM Security Access Manager, Webseal* Administrador de Linux Red Hat, UNIX* Conocimientos en shell script, Python, Ansible.* Disponibilidad para realizar guardias.Se valorará:* Disponibilidad incorporación inmediata.",,Técnico de Sistemas,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/administrador-middleware-infraestructura-was-remot/was-jboss-tomcat/rf-6ea816fd820733bfd240
Administrador Middleware Infraestructura WAS,Grupo NS,09/02/2024,"WAS, JBOSS, Tomcat","En Grupo NS seleccionamos para incorporación en plantilla, un Administrador Infraestructuras WAS, con al menos tres años de experiencia. Ofrecemos participación en proyecto de primer nivel en modalidad remota 100%, desde España. Posibilidad también de modelo híbrido (Madrid).Grupo NS, es una empresa donde se valora tanto el perfil profesional tecnológico de los trabajadores, como el interés y la aptitud que demuestren a la hora de desarrollar nuevos proyectos.Por ello, requerimos personas constantes, con ganas de evolucionar y aprender.Se requiere aportar experiencia previa en las siguientes funciones:* Experiencia de 3 años en WAS* Conocimientos de administración servidores de aplicación: WAS, JBOSS, Tomcat.* Instalacion de infraestructura, obsolescencia (migraciones, parcheos...)* Conocimientos en servidores web* Conocimientos seguridad IBM Security Access Manager, Webseal* Administrador de Linux Red Hat, UNIX* Conocimientos en shell script, Python, Ansible.* Disponibilidad para realizar guardias.Se valorará:* Disponibilidad incorporación inmediata.",,Técnico de Sistemas,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/administrador-middleware-infraestructura-was-remot/was-jboss-tomcat/rf-6ea816fd820733bfd240
Administrador Storage,PSS,08/02/2024,"Storage, Cabinas IBM","Te apetece formar parte de una compañía en pleno crecimiento? ¿Y trabajar rodeado del mejor TALENTO en proyectos realmente innovadores? En PSS es posible y nos gustaría conocerte.Actualmente estamos seleccionando Administrador Storage para incorporarse en un proyecto de uno de nuestros más potenciales clientes.Para ello, ¿Qué necesitamos?3 años de experienciaExperiencia en administración de Cabinas IBMExperiencia en redes de almacenamiento SANConocimiento de switches SANNivel de inglés B2Y llegados a este punto... ¿qué te ofrecemos?- Proyecto Estable.- Contrato indefinido con PSS- Salario acorde a la experiencia aportada- Modelo de trabajo : Modalidad Hibrida - Plan de carrera y formación continua- Retribución flexible: te brindamos diversos beneficios sociales, tales como seguro médico privado, ticket restaurante, ticket guardería y/o ticket transporte, para que disfrutes de un completo bienestar.- Campaña de referenciados: Si tienes algún amigo del sector que crees que encaja en nuestras vacantes, tráelo a trabajar contigo, ¡tendrás un premio!PSS comprometida con la Igualdad",,Administrador,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/administrador-storage-hibrido/storage-cabinas-ibm/rf-07fb1a712200234d0440
Administrador de Sistemas,HAYS,09/02/2024,"Windows, Linux, Azure, O365","En HAYS estamos colaborando con empresa que ofrece servicios de banca privada desde 1984 para la gestión de patrimonios de particulares y/o empresas. Son un equipo puntero, ya que aprovechan la tecnología para brindar apoyo e información de todo a sus clientes. Siendo la parte IT una parte muy importante de la compañía.Actualmente buscamos un perfil de Administrador/a de Sistemas, Comunicación y Seguridad que apoyará al equipo de IT.¿Cuáles serán tus funciones? - Apoyo al equipo IT encargado de tener los sistemas y entornos corporativos operativos  - Gestionar y controlar firewalls.  - Monitorización de infraestructuras heterogéneas, ciberseguridad y entornos de la nube, soporte y atención a usuario N-0.  - Formar parte de un equipo con dos seniors/responsables. ¿Cuáles son los requisitos? - Titulación: Grado/Licenciatura en Informática, o Ingeniería similar acabada.  - Mínimo 1 año de experiencia, con amplios conocimientos técnicos en BBDD y entornos operativos (Windows/Linux).  - Valorables conocimientos en Microsoft (Azure) y O365.  - Interés por desarrollo profesional respecto a redes, infraestructuras y seguridad.  - Conocimientos de telefonía IP, infraestructura y protocolos  - Persona comunicativa, con interés y ganas de aprender y crecer. ¿Qué ofrecemos? - Modalidad presencial  - Ubicación: Bilbao Estamos esperando perfiles como el tuyo, apasionados con la tecnología y que quiera enfrentarse a un nuevo reto. ¡Si es tu caso, inscríbete a esta oferta para que podamos contarte más!",,Técnico de Sistemas,Jornada completa,1 año,A determinar,,2024-02-10,tecnoempleo,Bizkaia (Presencial),https://www.tecnoempleo.com/administrador-sistemas-presencial/windows-linux-azure-o365/rf-88e812de1286e34b2f46
Administrador de Sistemas,Page Personnel,07/02/2024,"Windows, Windows Server, MacOS","Perfil buscado (Hombre/Mujer)• Soporte a usuarios.• Soporte y mantenimiento de la red.• Soporte y mantenimiento del hardware y software de la Institución.• Implantar y administrar sistemas informáticos en entornos monousuario y multiusuario.• Implantar y administrar redes locales y gestionar la conexión del sistema informático a redes extensas.• Implantar y facilitar la utilización de paquetes informáticos de propósito general y aplicaciones específicas.• Administrador de Sistemas para empresa sector Educativo|Empresa sector Educativo• Dominio de los sistemas operativos Windows 10 y 11.• Dominio de los sistemas operativos Windows Server, 2016, 2019, 2022.• Conocimientos del sistema operativo MacOS.• Conocimientos básicos de Linux.• Conocimientos básicos de configuración de sistemas iOS y Android.Empresa del sector Educativo.Oportunidades de carrera y desarrollo profesional.",,Técnico de Sistemas,Jornada completa,2 años,Indefinido,21.000 €-27.000 € Bruto/año,2024-02-10,tecnoempleo,Barcelona - España,https://www.tecnoempleo.com/administrador-sistemas-barcelona/windows-windows-server-macos/rf-5f941c4402a9f3c3234f
