titulo,herramientas,descripcion,ubicacion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
Senior IT Ecosystem Developer (Blockchain Developer),"['Blockchain', 'Full Stack Developer', 'Python', 'Ethereum', 'Hyperledger']","Our client is a company creating an innovation ecosystem platform that connects industries to disruptive technologies by linking stakeholders (governments, hub, startups, research groups & corporates). This platform is based on Generative AI and Neural Networks, enabling the discovery of emerging technologies and transforming industries. They are looking for a senior IT ecosystem developer with a focus on blockchain integration for their platform. ",madrid,Remoto parcial,"This rol involves working in both Boston and Madrid, providing a unique opportunity to collaborate with diverse teams. You will be responsible for developing and maintaining innovative decentralized web solutions with a focus on blockchain integration for the platform. The key responsibilities are: Blockchain Architecture: Design and architect decentralized solutions, emphasizing blockchain integration.Smart Contracts Development: Implement and deploy smart contracts on blockchain platforms, ensuring code integrity and security.Decentralized Storage and Networking: Design and implement distributed storage solutions compatible with blockchain environments. Develop and implement peer-to-peer communication protocols.Identity and Access Management on Blockchain: Implement decentralized identity solutions within a blockchain context. Design and enforce secure authentication and authorization mechanisms using blockchain principales. Security and Encryption in a Blockchain Context: Ensure the security of decentralized components through robust encryption, adherence to blockchain security best practices, and conduct security audits.Collaboration and Integration: Collaborate with UI/UX designers, backend developers and other stakeholders to integrate blockchain components. Integrate decentralized components with external systems and APIs.Testing and Optimization in a Blockchain Environment: Conduct comprehensive testing of smart contracts, decentralized applications, and blockchain components. Monitoring and Maintenance in a blockchain ecosystem: Implement monitoring tools tailored for blockchain and decentralized systems to ensure continuous operation. Establish protocols for maintenance, issue resolution and system updates. ",Jornada completa,5 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Digital/senior-it-ecosystem-developer-blockchain-1089,talenthacker
MDM Director,"['Master Data ', 'Data Governance ', 'Data Quality ', 'Azure', 'TIBCO', 'CDQ']","Empresa multinacional de alimentos y productos lácteos que se dedica principalmente a la producción y comercialización de yogures, productos lácteos y alimentos saludables. También tiene un enfoque en la sostenibilidad y la promoción de la nutrición y la salud a través de sus productos.
El equipo global de Data & Analytics está reclutando a un Director de Master Data Management (MDM) para liderar y expandir nuestra área de gestión de datos maestros. Nuestro equipo de datos maestros se enfoca en los datos maestros de clientes, productos y materias primas y envases como prioridades principales para satisfacer las necesidades de los grandes programas de transformación dentro de la empresa. En los próximos años, abordaremos muchos otros dominios de datos maestros, lo que hará que este trabajo sea diverso y emocionante, en contacto con numerosos interesados de diferentes líneas de negocios. Este rol también incluye las capas tecnológicas para que la gobernanza de datos funcione (catalogación de datos, herramientas de calidad de datos) y el equipo de arquitectura de datos especializado por dominio empresarial.
Este rol es fundamental para nuestra transformación en Data & Analysis, hacia una organización de datos y análisis de clase mundial que proporcione datos escalables, fiables y de confianza. Buscamos individuos altamente motivados, cómodos en un entorno dinámico, con experiencia en liderar equipos grandes (compuestos por empleados de tiempo completo y contratistas) y con un sólido historial en la expansión de soluciones MDM, soluciones de gobernanza de datos y conocimientos en arquitectura de datos.
El individuo debe ser capaz de influir en socios comerciales interfuncionales y proporcionar de manera efectiva el punto de vista tecnológico sobre problemas comerciales complejos a la alta dirección, miembros del equipo y socios.
 ",barcelona,Remoto parcial,"Como Director de MDM (Master Data Management), tus responsabilidades incluirán:

Establecer una visión y estrategia tecnológica para la plataforma y servicios de MDM y gobernanza de datos, centrándose en los resultados comerciales medidos a través de métricas clave.
Construir el equipo y la tecnología necesarios para respaldar las necesidades de la iniciativa de MDM y Data Governance.
Traducir las necesidades estratégicas del negocio en arquitectura técnica.
Liderar y desarrollar un equipo (empleados de tiempo completo y contratistas) responsable de la implementación y el soporte de la solución de MDM, las herramientas y el soporte de gobernanza de datos, así como las mejores prácticas, la documentación y la experiencia en sistemas transaccionales desde el punto de vista de la arquitectura de datos.
Ser el líder técnico del programa de gestión de datos maestros llamado ""Mercury"" (representa una inversión de más de 20 millones de dólares para los próximos 4 años). Esto incluye liderar y dirigir recursos de proveedores y equipos internos de técnicos/analistas y arquitectos de soluciones, así como recursos externalizados para construir y ofrecer una gestión de datos maestros de próxima generación.
Liderar en el desarrollo y mantenimiento de datos maestros globales y armonizados en toda la empresa. Trabajar en estrecha colaboración con el equipo de Servicios Empresariales de Danone (equipo responsable de la estrategia de MDM, definición del modelo central y supervisión de los datos maestros).
Colaborar con otros actores clave (por ejemplo, legal, seguridad, arquitectura empresarial, etc.) para garantizar que las características de la solución cumplan con todos los requisitos de seguridad, privacidad y arquitectura empresarial.
",Jornada completa,10 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Data/mdm-director-1054,talenthacker
Data Engineer,"['Data Engineer', 'SQL', 'ETL']","Es el operador líder en el sector español de transporte de viajeros por carretera. Con más de cien años de experiencia y una vocación de innovación permanente. La concepción del transporte desde una visión integral y la satisfacción permanente del cliente son las premisas sobre las que desarrolla su actividad.
Como operador integral, es capaz de atender las diferentes necesidades de movilidad de los ciudadanos mediante un amplio abanico de servicios de transporte de ámbito regional, nacional, internacional, urbano, discrecional (alquiler de autocares) y turístico. Asimismo, está especializada en la gestión de estaciones de autobuses, áreas de servicio y áreas de mantenimiento de vehículos. En la actualidad, cuenta con una moderna flota integrada por 7.000 autobuses, que transportan a 527 millones de viajeros al año, quienes son atendidos por un competente equipo formado por 15.000 profesionales.
En esta posición se busca a una persona con experiencia como Data Engineer",Madrid,Remoto parcial,"La principal función será garantizar que la información se encuentre disponible y utilizable por los stakeholders de la empresa, realizando funciones como:

Extraer datos y prepararlos antes de cargarlos en entornos analíticos de datos, en procesos de ETL (extracción, transformación y carga).
Depurar y clasificar los datos extraídos.
Construir arquitecturas analíticas de datos.Desarrollar, construir y mantener las distintas bases de datos y arquitecturas de los entornos analíticos.
Identificar y desarrollar procesos para mejorar la confiabilidad y calidad de los datos.
Analizar la información solicitada. Generar información de valor para la empresa a partir del conjunto de datos.
Reportar incidencias encontradas.
",Jornada completa,2 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Data/data-engineer-1095,talenthacker
Cybersecurity Incident Analyst,"['Ciberseguridad', 'SOC']","Empresa líder en el sector de las telecomunicaciones ofrece un ambiente de trabajo innovador y dinámico, con múltiples oportunidades de desarrollo profesional y personal. Su compromiso con la excelencia en el servicio y la satisfacción del cliente la hacen una excelente opción para invertir en el futuro. En este momento están buscando un Cybersecurity Incident Analyst",Madrid,Remoto parcial,"
Responsable de analizar y gestionar los eventos e incidentes de seguridad que no pudieron ser resueltos por el equipo de operadores de seguridad, al requerirse un análisis profundo del caso y/o un expertise especifico.
Monitorización y análisis de los eventos generados por los Sistemas de Información para identificar actividad anómala y amenazas potenciales.
Realización de análisis detallados de las alertas de seguridad con objeto de determinar el suceso, la causa raíz, el origen, la naturaleza y el impacto del mismo.
Validación de las alertas de seguridad, apoyándose en otros equipos de respuesta, los equipos de técnicos de operación, proveedores externos, etc.
Gestión de las acciones de respuesta, así como identificación de acciones preventivas para evitar recurrencias del mismo suceso.
Documentación de los incidentes de seguridad, así como elaboración de informes detallados cuando así fuera requerido.
Gestión de la documentación en materia de respuesta a incidentes de seguridad, incluyendo el mantenimiento de los procedimientos de respuesta como la definición de nuevos casos de uso en respuesta a amenazas.
",Jornada completa,De 3 a 5 años de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/SysOps/cibersecurity-incident-analyst-1085,talenthacker
Ingeniero de Ciberseguridad,"['ciberseguridad', 'desarrollo']","La organización se dedica a la investigación y desarrollo de tecnologías innovadoras para diversas industrias. Su trabajo ha tenido un impacto significativo en la mejora de la competitividad de las empresas. Trabajan en actividades de I+D+i aplicando tecnologías avanzadas de desarrollo software para ofrecer soluciones innovadoras y de calidad para múltiples sectores (p.ej. ferrocarril, IT, industria 4.0, energía, salud, etc.). Buscan una persona proactiva y con experiencia en proyectos de investigación en el ámbito del desarrollo software.
El equipo está altamente especializado en el uso de diversos lenguajes y frameworks de desarrollo, protocolos de comunicación, herramientas para CI/CD; el despliegue de aplicaciones con arquitecturas basadas en microservicios y contenedores; la automatización de pruebas, etc.",Derio,Remoto parcial,"
Desarrollo y optimización de software de ciberseguridad.
Colaboración con perfiles avanzado en seguridad.
Creación de directrices y dashboards de seguridad para productos específicos.
Entrenamiento de modelos de IA para detección de anomalías y señuelos.
Programación en módulos de dispositivos embebidos y capturas de tráfico.
Realización de pruebas de seguridad y ataques simulados.
",Jornada completa,5 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Development/ingeniero-de-ciberseguridad-1066,talenthacker
Administrador de sistemas,"['AWS', 'Google Cloud Platform', 'Azure', 'Docker', 'Kubernetes']","Es un centro de formación profesional que ofrece ciclos formativos tanto online como a distancia con sede en España. La formación profesional que ofrece abarca diversas áreas y sectores incluyendo administración y gestión, informativa y comunicaciones, sanidad, educación, turismo, etc.",lérida,Presencial,"Buscan a un administrador de sistemas que se encargue de garantizar el correcto funcionamiento de toda la plataforma tecnológica e informática de la empresa utilizando los servidores on premise y cloud, redes. Además de: Gestión de la red interna de la empresa.Mejorar el procedo de deployments (K8s, docker, runners, ci/cd)Proponer cambios para mejorar la explotación de aplicaciones y sistemas. Mejorar la arquitectura de los servidores cloud propios de la empresa.",Jornada completa,3 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Development/administrador-de-sistemas-1039,talenthacker
Desarrollador de Salesforce,"['Salesforce administrator', 'Salesforce Development', 'cloud']","Es el operador líder en el sector español de transporte de viajeros por carretera. Con más de cien años de experiencia y una vocación de innovación permanente. La concepción del transporte desde una visión integral y la satisfacción permanente del cliente son las premisas sobre las que desarrolla su actividad.
Como operador integral, es capaz de atender las diferentes necesidades de movilidad de los ciudadanos mediante un amplio abanico de servicios de transporte de ámbito regional, nacional, internacional, urbano, discrecional (alquiler de autocares) y turístico. Asimismo, está especializada en la gestión de estaciones de autobuses, áreas de servicio y áreas de mantenimiento de vehículos. En la actualidad, cuenta con una moderna flota integrada por 7.000 autobuses, que transportan a 527 millones de viajeros al año, quienes son atendidos por un competente equipo formado por 15.000 profesionales.
En esta posición se busca a una persona con experiencia como desarrollador de Salesforce.",Madrid,Remoto parcial,"
Desarrollo e implementación de funcionalidades, servicios e interfaces en Salesforce en cloud, principalmente Sales y Service Gestión de datos Datamart
Salesforce Análisis de requisitos y definición de solución técnica
Gestión de equipos y proveedores
",Jornada completa,3 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Development/desarrollador-de-salesforce-1086,talenthacker
Software Architect Data & AI,"['Azure', 'Big Data']","Nuestro cliente es una empresa que se especializa en soluciones y servicios de tecnología de la información para empresas. Se centra en proporcionar servicios de consultoría, implementación y soporte para sistemas empresariales, incluidas soluciones de software empresarial, gestión de relaciones con el cliente (CRM), gestión de recursos empresariales (ERP), y otras soluciones tecnológicas para mejorar la eficiencia y productividad de las organizaciones. ",madrid,Remoto,"Responsable de diseño, desarrollo, despliegue y ciclo de vida de arquitecturas de data con tecnología Azure de Microsoft. Diseño y desarrollo de soluciones de datos para aplicaciones empresarialesRealización de pruebas de conceptoResponsable de innovación dentro del equipo de Data Analytics. Creación de metodologías y estándares a implementar en el área de Data Analytics. Participación en el desarrollo de Soluciones IP propias para la implementación de PoC´s y entornos Demo. Divulgación de conocimiento en eventos, webinars, píldoras como speaker especialista en el mundo del dato. Presentación del portfolio de servicios y soluciones Data AI & Cloud de la compañía. ",Jornada completa,3 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Data/software-architect-data-ai-1080,talenthacker
Cloud Native Blueprint Leader,"['Arquitecto', 'Solución', 'AWS']","Empresa líder en el sector de las telecomunicaciones ofrece un ambiente de trabajo innovador y dinámico, con múltiples oportunidades de desarrollo profesional y personal. Su compromiso con la excelencia en el servicio y la satisfacción del cliente la hacen una excelente opción para invertir en el futuro. En este momento están buscando un Jefe Proyecto Big Data Onpremise.",Madrid,Remoto parcial,"
Tu misión principal  será:
Liderar el proceso de homologación de componentes  que se incorporen al Blueprint
Cloud Native (BP) de OSP en sus distintas fases (Sandbox &amp; Incubating)  basandose en las buenas práctivas definidas por CNCF (Cloud Native Computing Foundation).
En la fase de sandbox, realizarás prospecciones de tecnologias disponibles en el mercado para seleccionar aquellas candidatas que cubran las necesidades tanto funcionales como tecnicas, pasando a convertirse en componentes a homologar.
Las principales tareas de este proceso serán: Definición y realización de pruebas funcionales y de rendimiento, modalidad de uso y licenciamiento,  autenticacion y autorizacion, encriptación, documentacion del proceso y presentación de resultados.
En la fase de incubating, liderarás el proceso, coordinándote con los distintos equipos (Infraestructuras, Cloud, SRE, COML, DEVOPS, Seguridasd y Desarrollo) con el objetivo de industrializar el componente integrado en el ecosistema de IT segun los estandares definidos en el BP. Darás soporte al equipo de desarrollo que desplegará y usará la tecnologia homologada en producción por primera vez.
Colaboración con el equipo de BigData para dar soporte al proyecto de migración al cloud, ayudando a construir el ecosistema de herramientas en la nube.
Participar en la definición de la arquitectura  de soluciones IT

 ",Jornada completa,10 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/SysOps/cloud-native-blueprint-leader-1072,talenthacker
Desarrollador ServiceNow ITSM/ITOM,"['ServiceNow', 'ITSM', 'ITOM']","Esta empresa española de servicios de consultoría IT para empresas, está buscando 4 perfiles de desarrollador, analista o consultor de ServiceNow ITSM para desarrollar la gestión de servicios de IT y soporte a usuario final, y 4 perfiles de ServiceNow ITOM para la automatización y optimización de las operaciones IT de la organización.",madrid,Remoto,"Diseñar, desarrollar y personalizar aplicaciones y módulos en ServiceNow para satisfacer las necesidades específicas del cliente.Configurar flujos de trabajo (workflows) y automatizaciones para mejorar la eficiencia de los procesos de negocio.Configurar y personalizar la gestión de incidentes y problemas en ServiceNow para garantizar un proceso eficiente de manejo de problemas y resolución de incidentes.Configurar y personalizar la gestión de cambios y versiones en ServiceNow para garantizar una gestión controlada de los cambios en la infraestructura de TI.Configurar y mantener la gestión de activos y configuración en ServiceNow para realizar un seguimiento preciso de los activos de TI y la configuración.Diseñar y desarrollar integraciones entre ServiceNow y otros sistemas de TI utilizando API y técnicas de integración.Diseñar y configurar flujos de trabajo automatizados para la ejecución de tareas y procesos empresariales repetitivos.Configurar y personalizar portales de autoservicio y catálogos de servicios para facilitar la solicitud de servicios y recursos de TI.Realizar análisis de datos para identificar áreas de mejora en los procesos de TI y proponer soluciones para la optimización.Proporcionar formación y apoyo a los usuarios finales y equipos de TI en el uso de ServiceNow.Participar en proyectos de implementación de ServiceNow, asegurando que se cumplan los plazos y los objetivos.Realizar tareas de mantenimiento regular y aplicar actualizaciones de ServiceNow para garantizar su correcto funcionamiento.Garantizar el cumplimiento de las políticas de seguridad y privacidad de datos en la configuración de ServiceNow.Crear documentación técnica y guías de usuario para registros y procedimientos relacionados con ServiceNow.Colaborar estrechamente con otros equipos de TI y departamentos para garantizar una alineación efectiva de la plataforma ServiceNow con las necesidades del negocio.",Jornada completa,De 2 a 5 años de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Development/desarrollador-servicenow-itsmitom-1090,talenthacker
