titulo,empresa,fecha,herramientas,descripcion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal
Android Developer,Almato Iberia,24/01/2024,"android, ios, flutter","Estamos buscando un Programador Android con al menos 3 años de experiencia en esta posición y un excelente dominio del inglés. Si eres apasionado por la programación y deseas llevar las tecnologías móviles al más alto nivel, ¡te estamos buscando!Te ofrecemos una posición 100% remota en España y un equipo con muchas ganas de trabajar.Tus tareas principales:- Desarrollo de aplicaciones Android, tanto nuevas como existentes, a un nivel profesional y técnico de primer orden para algunas de las empresas más destacadas y líderes a nivel mundial, todo en un entorno ágil de trabajo.- Participación activa en la concepción técnica y coordinación de las interfaces del backend.- Asesoramiento directo al propietario del producto en la creación de historias de usuario, así como colaboración con el equipo de Experiencia de Usuario (UX) en el diseño de interfaces de usuario de vanguardia.- Utilización de tecnologías innovadoras como la Inteligencia Artificial y Servicios en la Nube.Evaluación y adopción de componentes de terceros y las últimas tendencias en el campo.- Garantía de la calidad a través de rigurosas pruebas unitarias, de sistema e integración.Requisitos de conocimientos, habilidades y experiencia:- Titulación completa en informática, medios digitales o experiencia equivalente.- Más de 5 años de experiencia demostrable en el desarrollo de aplicaciones Android en Java y Kotlin.- Amplio conocimiento en programación tanto en Java como en Kotlin, además de destrezas en XML y JSON.- Experiencia sólida en el uso de la plataforma de desarrollo Android Studio.- Habilidad en la integración de interfaces de servicio, en especial servicios web y RESTful.- Experiencia con el sistema de construcción Gradle y familiaridad con bibliotecas estándar, como Google Support Libraries (AndroidX), Retrofit y Picasso/Glide.- Familiaridad con el Android NDK.- Conocimientos básicos de integración de dispositivos portátiles y dispositivos Bluetooth.- Experiencia en la creación de arquitecturas de aplicaciones robustas.- Familiaridad con herramientas de Integración Continua (CI), como Jenkins, y con la gestión de código fuente a través de Git.- Alguna experiencia previa con metodologías ágiles, como Scrum.- Un nivel elevado de comprensión, conversación y redacción en inglés (mínimo B2).- Conocimientos del alemán.Habilidades valoradas:- Experiencia adicional en el desarrollo de aplicaciones para iOS se considerará un plus.- Actitud de trabajo en equipo.Salario:Dependiendo de la experiencia y la formación técnica ofrecemos un rango salarial entre 24-35 K.Lo que ofrecemos:- Empleo a tiempo completo.- Contrato de trabajo indefinido.- Proyectos innovadores y grandes oportunidades de formación continua.- Oportunidad de crecimiento profesional.- Posibilidad de trabajo 100% remoto o en modalidad híbrida en España a elegir.- Oficina con ubicación céntrica en el distrito 22@(Barcelona).- Buena conciliación de la vida laboral y familiar.- Horario de trabajo flexible a elegir.- Bebidas gratuitas en la oficina (café, agua, infusiones, zumos).- Servicio de fruta semanal de Casa Ametller en la oficina.- Snacks disponibles en la oficina.- Beneficios para los empleados en colaboración con el Banco Sabadell.- Beneficios para empleados enfocados en la formación continua.- Acceso al programa de beneficios corporativos.Acerca de AlmatoAlmato es una filial al 100% de DATAGROUP SE, compañía cotizada en bolsa. Somos uno de los principales proveedores de software y servicios para la digitalización inteligente de empresas. Nuestro software automatiza y moviliza los procesos de negocio de las empresas. Nuestras aplicaciones incluyen la automatización de procesos robóticos (RPA), asistentes digitales, aplicaciones inteligentes, robots de software ya preparados, servicios de aprendizaje automático, así como soluciones completas para tareas individuales, como la gestión de la mano de obra.",100% En remoto,Analista,Jornada completa,3 años,Indefinido,24.000 €-36.000 € Bruto/año,2024-01-26,tecnoempleo
iOS Developer [with German],Almato Iberia,24/01/2024,"ios, android","Almato Iberia te invita a ser parte de nuestro equipo como Programador Senior iOS. Con más de 3 años de experiencia, únete a nosotros en emocionantes proyectos internacionales. Ofrecemos un entorno amigable, desarrollo continuo y la oportunidad de transformar tu carrera. Conocimientos, aptitudes y experiencia necesarios:- Licenciatura en Informática, Ingeniería u otra disciplina relacionada.- Más de 3 años de experiencia en el apasionante mundo del desarrollo de software.- Dominio de tecnologías como Xcode, iOS, Swift, Control de Versiones Git, UIKit, RxSwift, Carthage, Concurrencia, RESTful, JSON & XML, MVC, MVVM-C, XCTest, Push Notifications y CoreData.- Experiencia clave en Desarrollo Guiado por Pruebas (TDD) y Pairing.- Familiaridad con herramientas modernas de desarrollo, Gestión (CA Agile Central, Atlassian Jira, Software de - - Gestión de Proyectos, Gestión de Código Fuente GIT), y CI/CD (Jenkins, Concourse).- Experiencia con SDK de mapas, API de mapas, navegación automática, SDKs de Analytics y pruebas unitarias (Rápido y ágil).- Habilidades analíticas afiladas y capacidad para resolver problemas complejos.- Excelentes habilidades de comunicación oral y escrita en inglés y en alemán.Habilidades deseadas:- Experiencia en Here Maps / Apple Maps, y familiaridad con Combine, WatchKit, SwiftUI.- Conocimientos de Android son un plus.Requisito indispensable:- Nivel de alemán alto (tanto hablado como escrito)Salario:Dependiendo de la experiencia y la formación técnica ofrecemos un rango salarial entre 24-35 K.Lo que ofrecemos:- Empleo a tiempo completo- Contrato de trabajo indefinido- Proyectos innovadores y grandes oportunidades de formación continua- Oportunidad de crecimiento- Trabajo 100% remoto o híbrido en España a elegir- Oficina con ubicación céntrica en el distrito 22@(Barcelona)- Buena conciliación de la vida laboral y familiar- Horario de trabajo flexible a elegir- Bebidas gratuitas en oficina (café, agua, infusiones, zumos)- Servicio de fruta semanal de Casa Ametller en oficina- Snacks en oficina- Beneficios para los empleados con el Banco Sabadell- Beneficios para empleados para la formación continua- Acceso al programa de beneficios corporativosAcerca de AlmatoAlmato es una filial al 100% de DATAGROUP SE, que cotiza en bolsa. La empresa es uno de los principales proveedores de software y servicios para la digitalización inteligente de las empresas. Con el software de Almato, las empresas automatizan y movilizan sus procesos de negocio. Las aplicaciones incluyen la automatización de procesos robóticos (RPA), asistentes digitales, aplicaciones inteligentes, robots de software ya preparados, servicios de aprendizaje automático, así como soluciones completas para tareas individuales, como la gestión de la mano de obra. Almato emplea a más de 120 personas en sus sedes de Bonn, Duisburgo, Hamburgo, Reutlingen, Stuttgart y Barcelona.Empresas de todos los sectores utilizan el software de Almato para reducir sus costes y mejorar su servicio. Entre los clientes de Almato se encuentran Aida, Deichmann, Deutsche Telekom, H&M, Innogy, Lands End, Lidl, Sparda, Santander y Tchibo.",100% En remoto,Desarrollador Móvil,Jornada completa,3-5 años,Indefinido,21.000 €-36.000 € Bruto/año,2024-01-26,tecnoempleo
MLOps Engineer,NPR Spain,24/01/2024,"MLOps, Azure, GCP, Cloud","En NPR estamos muy comprometidos con la innovación y el crecimiento personal, de hecho la base de nuestro éxito son nuestros trabajadores: nuestro talento. Por eso, si quieres formar parte de nuestra empresa, estamos en pleno proceso de expansión.¿QUÉ BUSCAMOS?💻 Necesitamos incorporar un perfil MLOps Engineer para incorporarse a un gran equipo de nivel nacional, con experiencia en Cloud (AWS, Azure o GCP).¿CUÁLES SERÁN TUS FUNCIONES?• Diseño de sistemas y soluciones basadas en Machine Learning.• Productividad modelos de AWS Sagemaker.• Trabajar en equipo y mano a mano con los Data Scientist.¿QUÉ REQUISITOS TÉCNICOS SON NECESARIOS?Experiencia con funciones MLOps.Experiencia en Cloud: AWS, Azure o GCP.OFRECEMOS:• Contrato indefinido.• Salario: a convenir• Desarrollo profesional y personal dentro de la empresa.• Formación y actualización continua• Ubicación: Barcelona (La Barceloneta).• Modalidad híbrida (2-3 días presencial).",Barcelona (Híbrido),Inteligencia Artificial/Machine Learning,Jornada completa,2 años,Indefinido,33.000 €-39.000 € Bruto/año,2024-01-26,tecnoempleo
Helpdesk con inglés y francés,Krell Consulting & Training,24/01/2024,helpdesk,"¿Tienes buen nivel de francés e inglés? Si es así, estamos buscando un Técnico Helpdesk con las siguientes funciones:Se ofrece- Contratación indefinidaUbicación: Castellbisbal- Horario: de lunes a viernes (se trabajarán algunos festivos locales y provinciales), turnos rotativos entre las 6 y las 22h.- Tipo de contrato: indefinido.- Formación gratuita y desarrollo profesionalFunciones / Tareas / Responsabilidades:- Recepción, registro y resolución de incidentes y peticiones informáticas.- Colaborar en la documentación del servicio.- Asistencia técnica remota en inglés B2 y francés B1+.Competencias personales:- Buena capacidad de expresión oral y escrita.- Perfil implicado y responsable.Beneficios Laborales:Tickets restauranteCheques guardería.Tarjeta transporte",Barcelona (Presencial),Helpdesk,Jornada completa,1 año,Indefinido,18.000 €-18.000 € Bruto/año,2024-01-26,tecnoempleo
java Architect Springboot and IA,ENART SYSTEMS,24/01/2024,"java, springboot, openapi, angularjs","Somos una startup especializada el desarrollo de tecnología nocode y lowcode  en arquitecturas java con spring boot e inteligencia artificial . Buscamos incorporar diferentes perfiles de desarrollo a nuestro departamento de I+D   para la evolución de nuestros productos.Requerimientos Mínimos :  * Java jdk 17 y programación funcional.  * Spring boot con programación reactiva .  * Preferible conocimientos de apache Vertx.  * Documentación con Open API 3   * Conocimientos de angular y/o reactjsNivel medio-alto de InglésGrado universitario en Informática y/o telecomunicaciones .Qué se ofrecemos:• Ser parte de equipo multidisciplinar tanto nacional como internacional.• Pertenecer a un proyecto con un gran valor de innovación y con múltiples tecnologías.• Desarrollar soluciones con arquitecturas basadas en Inteligencia Artificial, Ligústica computacional, Voz...* Desarrollo de soluciones en arquitecturas cloud.• Participar en soporte a proyectos internacional.* Creación y diseño de productos verticales.* Formación y evolución profesional continuada.",Cádiz (Híbrido),Analista Programador,Jornada completa,3-5 años,Indefinido,30.000 €-45.000 € Bruto/año,2024-01-26,tecnoempleo
Software Developer,TDM Solutions,24/01/2024,"C#, VISUAL STUDIO, GIT, C++","Job Description  We are currently hiring a software developer to join the Development Team for our Barcelona´s office. As a Software Developer, you will develop and test computer programs and application software with the goal of meeting and exceeding the needs of the company. Duties include identifying the needs of users, outlining technical requirements and specifications, and performing programming activities. This includes developing and testing against given specifications. The job is available as a 100% remote position (only to candidates in Spain), although candidates in Barcelona province can choose a hybrid model.  Qualifications  - Finished bachelor’s degree in Computer Science, Informatics, or related field is preferred. - Excellent oral and written communication in English and Spanish are a must.   Primary Responsabilities  - Collaborate with management, departments, and customers to identify end-user requirements and specifications. - Design algorithms and flowcharts to create new software programs and systems. - Produce efficient and clear code based on requirements and programming standards. - Troubleshoot, debug, maintain and improve existing software functionality and performance. - Compile and assess user feedback to improve software performance. - Develop technical documentation to guide future software development projects.   Skills - Knowledge of any imperative programming language (C#, Python, Java, C++ etc). - Agile methodology. * Valuable skills:        - WPF.        - RhinoCommon SDK.",100% En remoto,Analista Programador,Jornada completa,2 años,Indefinido,,2024-01-26,tecnoempleo
Desarrollador JAVA Senior,Hihired,24/01/2024,"Java, Springboot, microservicios","Buscamos UN/A DESARROLLADOR JAVA para una de las principales compañías globales de tecnología líder mundial de soluciones propias para mercados de Transporte y Defensa.Su campo de actuación será:- Conocimiento de arquitectura basada en microservicios- Experiencia en Springboot.- Experiencia en configuración de proyectos Maven modularizados- Experiencia trabajando con JPA (Hibernate, Spring Data)- Conocimiento sobre comunicación entre microservicios tanto síncrona como asíncrona(JMS, clientes Feign...)- Diseño y creación de APIs. Api First Design. Familiarizado con especificación Open API y Swagger.- Buen conocimiento en Bases de datos relacionales (sobre todo Oracle y Postresql)Propuesta Laboral:Contrato indefinido.Modalidad híbrido (negociable según el caso y perfil).Horario: 7:45/8:15 y 17:00/17:30 y V salida 14:00/14:30.",Madrid (Híbrido),Analista Programador,Jornada completa,Más de 5 años,Indefinido,42.000 €-48.000 € Bruto/año,2024-01-26,tecnoempleo
Analista Programador para BackOffice,Krell Consulting & Training,24/01/2024,"Java, microservicios, Springboot, Maven","OFERTA: Analista Programador para el sistema de BackOffice de los proyectos de inversión del departamento.Descripción de la empresa:Somos una de las principales compañías globales de tecnología y consultoría y el socio tecnológico para nuestros clientes en todo el mundo. Somos un proveedor líder mundial de soluciones propias para mercados de Transporte y Defensa.Descripción del puesto:Desarrollador de microservicios para el sistema de BackOffice de los proyectos de inversión del departamentoAnalista programador Java 5-10 años de experiencia. 3-5 años de experiencia en microserviciosConocimientos necesarios:- Conocimiento de arquitectura basada en microservicios- Experiencia en Springboot.- Experiencia en configuración de proyectos Maven modularizados- Experiencia trabajando con JPA (Hibernate, Spring Data)- Conocimiento sobre comunicación entre microservicios tanto síncrona como asíncrona(JMS, clientes Feign...)- Diseño y creación de APIs. Api First Design. Familiarizado con especificación Open API y Swagger.- Buen conocimiento en Bases de datos relacionales (sobre todo Oracle y Postresql)Conocimientos deseables:- Conocimiento de patrones de diseño y Clean Code- Conocimientos sobre Integración Continua/Despliegue Continuo (Jenkins, Docker, Kubernetes...)- Nociones en sistemas operativos basados en Unix-Experiencia en Test de aplicaciones (Test unitarios, test de integración...)(Mockito, JUnit)-Conocimiento en Control Versiones SW (preferiblemente GIT)",Madrid (Híbrido),Analista Programador,Jornada completa,Más de 5 años,Indefinido,45.000 €-48.000 € Bruto/año,2024-01-26,tecnoempleo
Desarrollador LabVIEW,MURMANN LABVIEW CONSULTANTS,24/01/2024,"LabVIEW, Python","Somos ingenieros unidos por una vocación dedicada al diseño de control y automatización de sistemas para ayudar a otros ingenieros y científicos a tener éxito en sus proyectos. Desarrollamos nuestros proyectos con LabVIEW y necesitamos integrar un nuevo desarrollador en nuestro equipo. ¿Quieres llevar tu carrera profesional de desarrollador LabVIEW al siguiente nivel?-Te ofrecemos:*Incorporarte a un equipo de Arquitectos LabVIEW apasionados por su trabajo, además de Instructores profesionales de National Instruments*Empresa joven y dinámica en crecimiento en el campo de las tecnologías*Salario competitivo y bonus por resultado y rendimiento personal*Posibilidad de trabajar en modalidad híbrido.*Contrato indefinido-Para este puesto serás responsable de:*Desarrollar proyectos software para nuestros clientes*Aplicar las arquitecturas software más adecuadas para cada proyecto y cliente*Estarás apoyado por un LabVIEW Arquitect para cualquier situación-Requisitos:*Experiencia con LabVIEW software (al menos un año), preferiblemente al menos certificación CLD*Ingeniería técnica o superior*Experiencia es sistemas de adquisición y control*Conocimiento de NI TestStand y Veristand (preferible)*Experiencia con NI FPGA y Realtime (preferible)*Experiencia con técnicas de medida físicas y eléctricas*Pasión por LabVIEW, electrónica, automatización y control*Interés o experiencia en trabajar con metodologías ágiles. Capacidad para trabajar en proyectos vagamente definidos y cambiantes*C1 de Ingles es valorable",Madrid (Híbrido),Consultor,Jornada completa,2 años,Indefinido,30.000 €-60.000 € Bruto/mes,2024-01-26,tecnoempleo
Analista Desarrollador PL SQL,CONVERSA CONSULTORES,24/01/2024,"sql, PL/SQL, oracle","Seleccionamos para empresa tecnológica nacional con presencia en varios países y con más de 30 años de experiencia en el desarrollo de soluciones de software y hardware para la mejora de logística integral y monitoreo de almacén unANALISTA DESARROLLADOR EN PL/SQLSus funcionesDentro del equipo de Desarrollo de Madrid, serás responsable de la parametrización, adaptación, modificaciones y ampliaciones de las aplicaciones informáticas de sus clientes, así como implantación de nuevos proyectos en Lenguaje PL/ SQL. Requerimos- Formación mínima en Grado Superior de Desarrollo de Aplicaciones Multiplataforma.- Imprescindible que seas experto/a en SQL. Mínimo 3 años de experiencia en SQL.- Muy deseable conocimientos en PL, así como en Sistema de Gestión de Almacén (SGA)- Nivel alto de inglés (B2-C1) hablado y escrito- Horario de 9:00 a 18:00 horas. Pasado el periodo de formación inicial en la oficina, podrás trabajar dos días en remoto. Ofrecemos- Contrato de trabajo indefinido.- Formación inicial en los aplicativos SGA específicos de la Compañía.- Salario entre 34.000/40.000 bruto año, según perfil profesional del candidato.- Zona de trabajo: Villaverde Alto.- Posibilidad de crecimiento profesional en una empresa en expansión líder en su sector",Madrid (Híbrido),Analista Programador,Jornada completa,3 años,Indefinido,30.000 €-36.000 € Bruto/año,2024-01-26,tecnoempleo
