titulo,empresa,fecha,herramientas,descripcion,ubicacion,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
Auditor/a de Accesibilidad, Ineco,2024-01-31,"['Auditor', 'Access', 'Gestores de BD (SGBD)']","Descripción de la ofertaFunciones a realizar en el puesto:Evaluación de la aplicación:Realizar pruebas de accesibilidad en la aplicación web, móvil o de escritorio, utilizando herramientas de evaluación y técnicas de revisión manual.Conocer, entender y saber aplicar la norma UNE-EN 301459:2022 de los estándares de accesibilidad.Realizar Informes de Revisión de Accesibilidad-IRA evaluando la accesibilidad de aplicaciones web, móvil y escritorio en base a los requisitos de la normativa UNE-EN 301459:2022.Identificar y documentar las barreras de accesibilidad redactando los Informes de los Hallazgos detectados en el IRA, aplicando soluciones técnicas con ejemplos de cómo implementar las soluciones tanto para aplicaciones web cómo para aplicaciones móviles (iOs y Android) y de escritorio (Windows/Mac).Declaración de Accesibilidad:Comprobar que la Declaración de Accesibilidad esté completa y cumpla con los requisitos estipulados conforme al modelo europeo fijado a través de la Decisión 2018/1523.Identificar cualquier discrepancia entre la declaración y los hallazgos de la evaluación de accesibilidad.Saber redactar la Declaración de Accesibilidad conforme al modelo europeo fijado a través de la Decisión 2018/1523.Documentación digital:Analizar la documentación digital en diferentes formatos (Word, Excel, PowerPoint, PDF, ePub) para asegurarse de que sea accesible.Verificar que los documentos cumplan con la normativa UNE-EN 301459:2022.Identificar y documentar las barreras de accesibilidad redactando Informes de los Hallazgos detectados y aplicando soluciones técnicas con ejemplos de cómo implementar las soluciones.Saber hacer accesibles la documentación digital en diferentes formatos (Word, Excel, PowerPoint, PDF, ePub).Revisión de Diseño y Usabilidad:Analizar el diseño de la interfaz de usuario y la experiencia general de usuario de la aplicación.Evaluar la estructura de la información, el diseño visual, la navegación y la usabilidad.Preparar informes detallados que documenten los hallazgos de accesibilidad y proporcionar recomendaciones específicas para abordar los problemas identificados.Pruebas con Tecnologías de Asistencia:Utilizar tecnologías de asistencia, como lectores de pantalla, teclados alternativos o software de reconocimiento de voz, para simular la experiencia de usuarios con discapacidades.Identificar posibles obstáculos o deficiencias en la accesibilidad al interactuar con la aplicación.RequisitosExperiencia de 5 años en diseño y desarrollo de Portales Web.Conocimientos de HTML, CSS y JavaScript.Experiencia de 5 años en evaluación y auditoría de Portales Web:Experiencia de más de 5 años en Evaluación y Auditoría de Accesibilidad de portales con WCAG 2.0, EN 301549:2015, UNE 139803:2012.Experiencia de más de 2 años en Evaluación y Auditoría de Accesibilidad de portales con WCAG 2.1, EN 301549 v2.1.2 (2018-08) o UNE-EN 301549:2019.Experiencia de al menos 1 año en Evaluación y Auditoría de Accesibilidad en aplicaciones móviles EN 301549 v2.1.2 (2018-08) o UNE-EN 301549:2019Conocimientos en el uso de Tecnologías de apoyo:Lectores de pantalla NVDA, JAWS, VoiceOver y TalkBack.Acceso por voz: Voice Access (Android) y Voice Control (iOS)Control por swich: Switch Access (Android) y Switch Control (iOS)// Años de experiencia en el puesto: 7-10 añosTitulación: Informática - Formación Profesional - Desarrollo de Aplicaciones Web - Matemáticas y FísicasBeneficios como trabajadorPaquete retributivo en Beneficios. Tú eliges si destinarlo a: Seguro Médico, Cheque Guardería, Tarjeta Transporte, Tarjeta Restaurante y/o Formación.Jornada flexible. En Ineco disponemos de18 medidas de conciliación, entre las que destacan, la flexibilidad horaria, teletrabajo, las políticas de reuniones y de luces apagadas, asistencia médica o educativa con familiares de primer grado.Encargos estables. Proyectos de larga duracción.En Ineco apostamos por el talento que tiene como base entornos de trabajo retadores y estimulantes que promuevan el desarrollo personal y profesional de nuestros empleados, garantizando el cumplimiento de los principios de igualdad, mérito y capacidad, así como la trasparencia, objetividad y la igualdad de oportunidades.","Madrid, España",> 5 años experiencia,"Indefinido, Duración determinada",,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/auditor-accesibilidad/62838,ticjob
Consult@r SAP BRIM ** remoto,Grupo Digital,2024-01-31,"['Consultor (Esp.)', 'SAP']","Description:En Grupo Digital, buscamos para importante compañIa del sector serviciosConsultor SAP BRIMTareas : Servicio de mantenimiento SAP BRIM preferible modulo CCUbicación: ESPAÑA ** Remoto&gt;&gt;&gt; Imprescindible residir en territorio español ... No se valoran candidaturas que no lo cumplan !!Minimum requirements:Minimo4 años de experiencia en puesto similarConocimientos imprescindibles SAP BRIM modulo CCConocimientos deseablesSAP BRIM modulo CM y CISAP FIInglés minimo B1Valorable MASTER en SAPGrupo DigitalSomos un grupo de empresas tecnológicas, formado actualmente por unos 200 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría...Amplia informacion en nuestra web www.grupodigital.eu","Madrid, Madrid, Comunidad de Madrid, España",> 2 años experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/consultr-sap-brim-remoto/62837,ticjob
DATA Manager,Grupo Digital,2024-01-31,['Data Analyst'],"Description:Desde Grupo Digital, buscamos un perfil Responsable de la gestión funcional de un equipo de DATA.En este sentido es necesario que tenga conocimiento de datos y analítica avanzada, tanto desde la parte funcional como la técnica.Localización: Barcelona o ReusModalidad: híbridaFunciones y tareas previstas:Entre las tareas previstas:1. Conocimientos de gestión de proyectos y servicios, importante la gestión de servicios, no son nociones, sino experiencia amplia.2. Gestión funcional de los recursos humanos y gestión de los recursos materiales asignados.3. Distribución, asignación y supervisión de las tareas entre el personal del equipo.4. Identificar necesidades de recursos y escalarlas.5. Confección y planificación de calendarios según necesidades del servicio.Minimum requirements:Perfil Responsable de la gestión funcional de un equipo de Data, con al menos 4-5 años de experiencia:Requisitos mínimos:Conocimiento de datos y analítica avanzada, tanto desde la parte funcional como la parte técnica.Conocimientos de gestión de proyectos y servicios.Metodología de gestión de proyectos.Catalán a nivel básico.Grupo DigitalSomos un grupo de empresas tecnológicas, formado actualmente por unos 400 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría... Si quieres impulsar tu carrera con un proyecto único de la mano de una multinacional de primerísimo nivel, no dudes en presentar tu candidatura. ¡Te esperamos!","Barcelona, Barcelona, Catalunya, Espanya",> 2 años experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/data-manager/62836,ticjob
Técnico Microinformático,Serem,2024-01-31,"['Soporte / Helpdesk', 'Windows']","Desde SEREM buscamos incorporar un TÉCNICO MICROINFORMÁTICO ONSITE para importante cliente en MELILLA.Requisitos:Perfil de Tecnico OnSite en Microinformática.Presencial en sede en Melilla, entre 30 y 50 usuarios.Ingles B2. Debe poder mantener conversación.Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.Somos una empresa española líder en servicios tecnológicos y atracción del talento presente en el mercado desde 1995. Contamos con más de 600 empleados en proyectos tanto nacionales como internacionales en sector TI","Melilla, España",Experiencia de 6 meses a 2 años,Indefinido,12.000 - 18.000,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/tecnico-microinformatico/62196,ticjob
Desarrollador Fullstack,Serem,2024-01-31,"['Programador', 'Fullstack', 'Java', 'JavaScript']","Desde Serem nos encontramos en la búsqueda de un DESARROLLADOR FULLSTACK con al menos 3 años de experiencia para importante cliente en la zona de calle Alcalá en modalidad híbrida.Requisitos:Conocimientos altos en programación Java en servidor JEE.Conocimientos altos JavaScript y JQuery.Deseable:Conocimientos en Spring, Spring-webflow y SpringBatchConocimientos en el diseño y desarrollo de servicios web y servicios restExperto en utilización de librerías JQuery tanto en su parte core como del uso e implementación de widgets JQuery-UI y pluginsExpertos en diseño y mantenimiento de arquitecturas de desarrollo y ejecución de aplicaciones en entornos JEE.Condiciones Laborales:Proyecto Madrid, Zona Alcala, trabajo en cliente y teletrabajo.Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.Somos una empresa española líder en servicios tecnológicos y atracción del talento presente en el mercado desde 1995. Contamos con más de 600 empleados en proyectos tanto nacionales como internacionales en sector.","Madrid, España",Experiencia de 2 a 5 años,Indefinido,36.000 - 42.000,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/desarrollador-fullstack/62183,ticjob
Senior Developer Springboot con INGLES (remoto),Grupo Digital,2024-01-31,[],"Description:Desde Grupo Digital buscamos un/a Analista Java  para trabajar en un proyecto estable, en Barcelona Reus o GranadaModalidad de trabajo:TeletrabajoPerfilDesarrollo con Microservicios con JAVA 8/11/17 y SpringBoot. Amplia experiencia Spring Boot, Spring Cloud y Spring Data/JPA Experiencia y conocimiento en el diseño de patrones, arquitectura, pruebas automáticas y seguridad. Capacidad analítica. Experiencia en Documentación de APIs con SWAGGER/OpenAPI3 Experiencia con BDs relacionales tipo Postgre u Oracle Experiencia en Test Unitarios con cobertura con Junit/Mockito. Experiencia con CI/CD (Git/Jenkins/Sonar/Fortify, o similar).Conocimientos imprescindibles:INGLÉSGrupo DigitalSomos un grupo de empresas tecnológicas, formado actualmente por unos 400 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría... Si quieres impulsar tu carrera con un proyecto único de la mano de una multinacional de primerísimo nivel, no dudes en presentar tu candidatura. ¡Te esperamos!Minimum requirements:Mínimo 4 años de experienciaConocimientos imprescindiblesExperiencia en nuevo Desarrollo con Microservicios con JAVA 8/11/17 y SpringBoot. Amplia experiencia Spring Boot, Spring Cloud y Spring Data/JPA Experiencia y conocimiento en el diseño de patrones, arquitectura, pruebas automáticas y seguridad. Capacidad analítica. Experiencia en Documentación de APIs con SWAGGER/OpenAPI3 Experiencia con BDs relacionales tipo Postgre u Oracle Experiencia en Test Unitarios con cobertura con Junit/Mockito. Experiencia con CI/CD (Git/Jenkins/Sonar/Fortify, o similar).Conocimientos deseablesConocimientos con Programación reactiva: spring webflux, r2dbc. Conocimientos de Clusters (Docker, Kubernetes, Openshift) Conocimientos en Cloud Azure (Servicios BLOB, EventHub, Active Directory).Residir en terrorio español","Barcelona, Barcelona, Catalunya, Espanya",> 2 años experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/senior-developer-springboot-ingles-remoto/62835,ticjob
Administrador/a Teradata,Grupo Digital,2024-01-31,[],"Description:Desde Grupo Digital, buscamos administrador/a experto en TeradataTipo de proyecto: Estable.Ubicación: MadridTipo de jornada: completaModalidad de trabajo: híbrido (20% teletrabajo)Salario: hasta 55.000 € B/A en función de experienciaGrupo DigitalSomos un grupo de empresas tecnológicas, formado actualmente por unos 400 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría... Si quieres impulsar tu carrera con un proyecto único de la mano de una multinacional de primerísimo nivel, no dudes en presentar tu candidatura. ¡Te esperamos!Minimum requirements:Experiencia:Experiencia con gestor de BBDD Teradata ExpertoExperiencia en APM (Application Performance Monitoring)Experiencia en Performance Testing E2EHerramientas de monitorización Teradata (SQL Assistant, ViewPoint y Mapa de Calor)Experiencia en Power DesignerOtros skills deseables:Data Center Orchestration & ProvisioningInfrastructure DesignHadoop Integrated Platforms TeradataIT Infrastructure OperationsQuality Engineering &gt; Test Automation &gt; Performance Testing","Madrid, Madrid, Comunidad de Madrid, España",> 2 años experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/administrador-teradata/62834,ticjob
Desarrollador/a PHP,Grupo Digital,2024-01-31,[],"Description:Desde Grupo Digital, buscamos un Desarrollador/a PHP para formar parte de nuestro equipo y colaborar con uno de nuestros clientes.Duración del proyecto: Indefinida (Larga duración)Modalidad de trabajo: 100% TeletrabajoFunciones:Desarrollador con más de 3 años de experiencia.Habilidades sólidas en programación PHP.Profundo conocimiento de bases de datos SQL.Experiencia en la integración de diversas APIs y servicios web.Contribuir activamente al ciclo completo de desarrollo, desde la conceptualización hasta la implementación y el soporte continuo.Conocimientos imprescindibles:PHP, bases de datos SQL.Experiencia en integración de APIs y servicios web.Contribución activa al ciclo completo de desarrollo.Detalles Técnicos del Puesto:Desarrollador con habilidades sólidas en programación PHP.Profundo conocimiento de bases de datos SQL.Experiencia en la integración de diversas APIs y servicios web.Contribuir activamente al ciclo completo de desarrollo, desde la conceptualización hasta la implementación y el soporte continuo.Conocimientos deseables:React y MuleSoft.Grupo DigitalSomos un grupo de empresas tecnológicas, formado actualmente por unos 400 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría... Si deseas iniciar tu carrera en el ámbito del desarrollo web y formar parte de un equipo dinámico, ¡esperamos tu candidatura!","Madrid, Madrid, Comunidad de Madrid, España",> 5 años experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/desarrollador-php/62833,ticjob
Analista Programador/a Java ¡Remoto!,Digital Talent Agency,2024-01-30,"['Analista-Programador', 'SQL', 'Java', 'REST', 'JavaScript', 'HTML', 'Vue.js']","Buscamos un ANALISTA PROGRAMADOR/A JAVA con al menos 3 años de experiencia trabajando en funciones relacionadas.¿QUÉ TE HARÁ TRIUNFAR?Experiencia mínima de 3 años.Conocimientos Java, construcción, mantenimiento de arquitecturas J2EE, aplicaciones web o interfaces de usuarios implementadas en JavaScrpit/HTML/Vue.js.Conocimiento en plataforma servidores web Weblogic/JBoss para aplicaciones Java.Conocimiento en Apis/ Servicios Web (REST, Swagger).Conocimiento o trabajo con microservicios.Conocimiento básico SQL.Conocimientos en securización de aplicaciones y protocolos de autenticación con OAuth2.Posible conocimiento en Medios de Pago.MODALIDAD: Teletrabajo 100%:¿POR QUÉ ELEGIRNOS? ¡Esto es lo que te ofrecemos!Te ofrecemos distintas oportunidades de formación y amplio abanico de retos y proyectos acordes con tus objetivos personales y profesionales: revisión salarial, crecimiento vertical y horizontal. ¡Trabajamos en proyectos retadores!Tenemos distintas oportunidades que ofrecerte! Finalizar tu contrato con nosotros siempre va a ser la última opción, vamos a buscar proyectos para ti según tus necesidades y preferenciasFlexibilidad horaria para poder conciliar vida laboral y personal.Seguimiento personalizado gracias al acompañamiento de nuestra figura de People Partner, y nuestro Business Manager, que siempre van a estar conectados contigo para lo que necesites!Formarás parte de una empresa responsable y comprometida con la igualdad de oportunidades.Trato cercano y seguimiento continuo durante todo el proceso de selección: vas a estar en constante comunicación con nosotros sobre cómo avanza tu candidatura, así como en contacto sobre posibles oportunidades que se adapten a lo que buscas a nivel laboralOfrecemos proyectos completamente estables y de larga duración, en los que podrás desarrollarte profesionalmente y apoyarte en los profesionales que actualmente colaboran en ellos.Proyectos a la carta, podrás valorar el que más se ajuste a tus preferencias a nivel laboral y que puedan encajar en tus búsquedas.Salario competitivo, siempre acorde a las competencias que aportes según tu experiencia.Acceso a beneficios fiscales gracias a nuestro plan de Retribución Flexible (ticket restaurante, ticket transporte, cheque guardería y formación).Nos adaptamos a tus preferencias, tenemos proyectos en modalidad remoto 100%, híbrido o incluso presencial si quieres interactuar de manera presencial con tus compañeros!En Digital Talent Agency te ofrecemos desarrollar proyectos en empresas destacadas del sector tecnológico, poniendo foco en tu desarrollo profesional, qué te gusta, cómo eres y con qué tipo de proyectos te sientes motivado.¡Queremos conocerte!","Madrid, España",> 2 años experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/analista-programador-java-remoto/62130,ticjob
Desarrollador Python Machine Learning,Serem,2024-01-31,"['Programador', 'Esp. Machine Learning', 'Python', 'C / C++', 'Windows']","Desde Serem nos encontramos en la búsqueda de un DESARROLLADOR PYTHON especializado en MACHINE LEARNING con al menos 3 años de experiencia para importante cliente del sector industrial.Requerimientos:Estudios superiores3 años de experiencia en PythonML Frameworks: Keras, Pytorch, TensorFlowConocimientos de Programación ConcurrenteExperiencia en testingInglés fluido.Deseable:C++ nivel medioExperiencia en desarrollo de aplicaciones en entorno Microsoft WindowsExperiencia en desarrollo de aplicaciones de Machine Vision y/o Machine LearningConocimiento frameworks de pruebas automáticas e integración continuaConocimientos estándar OPC para comunicar con PLCsExperiencia en proyectos en entorno internacionalConocimientos de Microsoft Office ExcelFomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.Somos una empresa española líder en servicios tecnológicos y atracción del talento presente en el mercado desde 1995. Contamos con más de 600 empleados en proyectos tanto nacionales como internacionales en sector TI.",España,Experiencia de 2 a 5 años,Indefinido,36.000 - 42.000,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/desarrollador-python-machine-learning/62197,ticjob
